unit_order,unit_id,unit_title,R2536,Met-1981.373,A4095,L4044,P3466,R2407,P5881
261,ab18a7fd-dca9-4134-8971-4798ac842825,Eliminating Criminals Benefits Society,والثالثة أنّه إذا قُتل ذو الفجور والنميمة والكذب كان ذلك راحةً للملك وجنده فإنّ كينونته بينهم بلاء عظيم وشرّ لازم لهم,,والثالثة أنّ الأشرار إذا قُتلوا ونُفوا من الأرض كان في ذلك راحة للملك والرعيّة وصلاح لهم,ومنها الراحة من أهل المغالّة والغشّ وقطع أسباب مؤذياتهم على الخاصّة والعامّة,والثالثة ترك مراعاة أهل الدم والفجور وقطع أسبابهم وموادّتهم عن الخاصّة والعامّة,,والثالثة إذا قتل أهل الفجور والكذب والسعاية والنميمة كان في ذلك راحة للملك وجنده لأن كون بقاءه بينهم بلاء عليهم ونبذه لهم لازمة
262,9e5e3b66-bb6a-4a50-a9e6-eb65531c7ad5,Judge Reiterates the Call for Testimony,فلينطقْ كلّ امرئ منكم بعلمه ولا يكتم حقًّا ولا يثبت باطلًا,,فليقُلْ كلّ امرئٍ منكم ما يعلم كيما يكون القضاء في ذلك على الحقّ لا على الهوى والبطر,,فمن علم من أمر هذا المحتال شيئًا فليتكلّمْ به على رؤوس الأشهاد ممّن حضر ليكون ذلك حجّة وذريعة وقد قيل إنّه من كتم شهادة ميّت أُلجم بلجام من نار يوم القيامة فليقل كلّ واحد منكم بما علم,,فلينطقْ كلّ واحد منكم بما يعلم منه ولا يكتم من أمره شيئًا
263,9a408cd6-733f-4172-8c54-01fee98b310c,All Attendees are Silent,فلمّا سمع الجند ذلك نظر بعضهم إلى بعض وأنصتوا,,فرمق بعضهم بعضًا وأطرقوا مليًّا لا يجيبون كلامًا لأنّهم لم يعلموا من أمره علمًا واضحًا يتكلّمون به وكرهوا القول بالظنون تخوّفًا أن يفصِل قولهم حُكمًا ويوجب قتلًا,فلمّا قضى قوله ذلك سكت جميع من حضر ولم ينطقْ أحد منهم بشيء لأنّهم لم يعلموا من أمره علمًا واضحًا يتكلّموا به وكرهوا القول بالظنون,فلمّا سمع ذلك الجمع كلامه أمسكوا عن القول,,قال فلمّا فرغ القاضي من كلامه نظر الجند بعضهم إلى بعض وبقوا جميعًا في سكوت
264,534ea357-2c1a-4383-8403-219a3ade9b87,Dimna Challenges All Only to Say What They Know,فقال دمنة ما لكم سكوتًا ليتكلّم كلّ امرئ منكم بعلمه ولا يكتم حقًا فإنّي لو كنت مجرمًا سررت بسكوتكم ولكنّي اعلم براءتي وأنّه لا ذنب لي ولا جرم فتكلّموا بما تعرفون,,فقال دمنة ما يُسكِتكم ليقلْ كلّ امرئ منكم ما يعلم واعلموا أنّ لكلّ قربة ثوابًا إمّا عاجلًا وإمّا آجلًا ولا بدّ أن تقولوا في أمري بعلمكم وليعلم كلّ متكلّمٍ منكم أنّ منطقه في قولي حُكم في إحياء نفسٍ أو موتها,فلمّا رأى دمنة سكوتهم تكلّم وقال إنّي لو كنت مجرمًا سُررت بسكوتهم عن القول في أمري ولكنّي بريء قد علمتم ذلك أو لم تعلموا لي جرمًا لأنّ كلّ من لا يُعلم له جرم فلا سبيل عليه فهو بريء إذ لا بدّ من أن تقولوا فيّ بعلمكم وليعلم مع ذلك من عسى أن يقول في أمري أنّ لكلّ قول عاقبة عاجلة وآجلة وأنّ قوله في أمري حكم في إحياء نفسي أو موتها,فقال دمنة ما يسكتكم تكلّموا بما علمتم واعلموا أنّ لكلّ كلمة قرينة جوابًا,قال دمنة من لم يتأيّد في الأمور ويعمل فيها بحسن النظر والرويّة والعلم الصائب والرأي الثاقب,فقال لهم دمنة ما هذا السكوت لينطق كلّ امرئ منكم بما يعلم به وما عرفه وشاهده واعلموا أنّ لكلّ كلام جوابًا ولكلّ جواب صوابًا
265,7ff0a25e-8f0d-42fd-85a5-c7ca718c6b07,Dimna's Second Subtale of Ignorant Physician,واعلموا أنّ لكلّ قول جواب وأنّه من زعم أنّه قد رأى ما لم يرى وعلم ما لم يعلم كان خليقًا أن يصيبه ما أصاب الطبيب الجاهل,,واعلموا أنّ من قال ما لم ير وادّعى علم ما لم يعلم أصابه ما أصاب الطبيب الجاهل المتكلّف,فمن عرّضني للعطب بغير علم أو قال في أمري بالظنّ أصاب من عاقبة قوله ما أصاب الطبيب الذي انتحل من علم ما لم يعلم,وقد قالت العلماء إنّ من يشهد بما لم *ير ويقول *ما لا يعلم يصيبه ما أصاب الطبيب الجاهل الذي قال لما لا يعلم أنا أعلمه,أصابه ما أصاب الطبيب الجاهل بالطبّ,فإنّ الذي يزعم أنّه يعلم ما لا يراه وما لا يعلم أنّه قد علمه يصيبه في ذلك مثلما أصاب الطبيب الجاهل لأنّه ادّعى أنّه يعلم ما لا يعلمه
266,6838d51a-f073-4fa2-bef1-f6cf6b37e6c9,Judge Request Tale,قال الفاضي والنمر وكيف كان ذلك,,فقال له القاضي وكيف كان ذلك,قال القاضي وكيف كان ذلك,قال الناس كيف كان ذلك,قال القاضي وكيف كان ذلك,قال له القاضي وكيف كان ذلك
267,27b12c0c-f883-46d9-9323-c963d485fd49,Famous Physician Dies or Goes Blind,قال دمنة زعموا أنّه كان في مدينةٍ من مدائن السند طبيب عالم وكان ذا حظوة لما يجري الله على يديه من أسباب العافية فمات فنظروا في كتبه فكانوا ينتفعون بها ويتعلّمون منها,,قال دمنة زعموا أنّه كان في مدينةٍ من مدائن السند طبيبٌ عالمٌ رفيقٌ فمات فنظروا في كتبه فكانوا ينتفعون بها ويتعلّمون منها,قال دمنة كان في بعض المدائن طبيب له رفق وعلم وكان مع ذلك ذو حظّ ممّا يجري على يديه من مقادير العافية فيما يعالج به الناس من طبّه وأدويته فكبر ذلك الطبيب وذهب بصره,قال دمنة كان في بعض المدن طبيب ماهر له رفق وعلم فكبر ذلك الطبيب وضعف بصره,قال دمنة زعموا أنّه كان في بعض المدائن طبيبٌ له رفقٌ وعلمٌ وكان ذا خطر عظيم لما يجري على يديه من مقادير العافية *في من يعالج بطبّه وأدويته فكَبُر ذلك الطبيب وهرم وضعف بصره,قال له دمنة زعموا أنّه كان في مدينة من مدائن الهند طبيبًا رفيقًا ما هرًا بالطبّ وكان قد برىء على يديه خلق كثير برفقه وعلمه فمات ذلك الطبيب فنظروا في كتبه وكانوا يتعلّمون منها
268,23e44ab7-f916-4ed1-9601-d53fb1261a3f,Quack Appears in Town,فأتاهم رجل فزعم أنّه طبيب وأنّ له رفق ولم يكن كذلك,,فأتاهم رجلٌ زعم أنّه طبيبٌ وأنّ له رفقًا ولم يكن كذلك,وإنّ رجلًا سفيهًا ادّعى علم الطبّ في تلك المدينة فاشتاع ذلك من أمره في الناس,,,فأتاهم رجل زعم أنّه طبيب وأنّ له رفق وعلم بالطبّ وكان جاهلًا بالطبّ فشاع عنه أنّه عالم ماهر بالطبّ
269,bc4ca479-4f45-42ba-a4dc-aba9d4b954fe,Pregnant Princess Falls Sick,وكانت لملكهم إبنة كريمة عليه وكانت حاملًا فاصابها بطن فجعلت تختلف الأضراس,,وكانت لملكهم ابنةٌ كريمةٌ عليه وكانت حاملًا فأصابها بطنٌ فجعلت تُمسُّ الأعراض,وكان لملك تلك الناحية بنت فزوّجها ابن أخ له فحملت فعرض لها بعض ما يعرض للحوامل من الأوجاع,وكان لملك تلك المدينة ابنة قد زوّجها ابن أخ له فعرض لما ما يعرض للحوامل من نزف الدم والأوجاع والأعراض,وكان لملك تلك المدينة ابنةٌ قد زوّجها لابن أخٍ له فعرض لها ما يعرض للحوامل من الأوجاع,وكان لملكهم ابنة كريمة تعزّ عليه وكان يحبّها حبًّا شديدًا وكانت حاملًا فأصابها بطن فرأت في حملها دم فمرضت مرضًا شديدًا ومرض الجنين لمرضها وسقط في أسفل بطنها فاشتدّ بها الوجع
270,71fe7a45-16c9-4642-bdde-989e7cab46f6,King Sends in Search of Physician,فبعث في طلب الأطبّاء,,فبعث الملك في طلب الأطبّاء,,,,فأنفذ الملك في طلب الأطبّاء من كلّ مكان ومن كلّ أرض
271,e6cef83b-0025-4375-95cf-f26f0db48212,Messengers Find Physician in India,,,,,,,فأنفذ الرسل يطوفون البلاد فأخبروهم أنّ طبيبًا مشهورًا بصناعة الطبّ ماهرًا به وهو في بلد من بلاد الهند على عشرة فراسخ منها فسمعت به الرسل فساروا وطلبوه
272,e835ff13-09b6-4ea5-9a7a-341aaf387b64,Blind Physician Prescribes Drug,فأتت رسله رجلًا منهم كان له علم على رأس فراسخ فوجدوه قد عمى فوصفوا له وجعها فأمرهم أن يركّبوا لها دواءً يُسمّى زادَمهران فرجعوا إلى الملك فأخبروه بذلك,,فأتت رسله رجلًا منهم كان له علمٌ على رأس فرسخ فوجدوه قد عمِيَ فوصفوا له وجع ابنة الملك فأمرهم أن يسقوها دواءً يُقال له زامهران فرجعوا إلى الملك فأخبروه بذلك,فبعث الملك إلى الطبيب الأعمى فلمّا جاءه سأل الجارية أهلها عن وجعها فأعلموه فوصف لهم دواء معروفًا وسمّاه لهم فأمر الملك أن يخلطه له في ذلك فقال لست أبصر فأجمع الأخلاط على معرفتي ولا أثق بجمع غيري منها,فجيء بهذا الطبيب فعرف دواءها وقال لو كنت أبصر خلطت الأدوية على معرفتي بها وبأجناسها,فأرسل الملك إلى ذلك الطبيب الأعمى *فحضر بين يديه وسأله وسأل الجارية عن مرضها فأعلموه سببه وما هو فعرف دواءها ووصف لها دواء فأمر الملك بجمع ذلك الدواء فقال المتطبّب لست أبصر لأحقّق إخلاطه وأجمعه بمعرفتي فولّوا غيري ذلك,فلمّا وصلت إليه الرسل وجدوه قد كبر وذهب بصره من الكبر فأخبروه بوجع الجارية فأمرهم أن يخلطوا لها شربة من دواء يسمّى ذامهرات يذاق بخمر وزيت وتُسقاه فإنّ شفاءها في ذلك قال فرجعت الرسل للملك فأخبروه بذلك
273,647b04d0-3a2c-4056-9a10-ac260b66e12d,Quack Hears about Sick Princess,,,,,وكان في مدينته رجل سفيه فبلغه الخبر,فسمع سفيهًا كان في المدينة,
274,34d204c5-9062-404d-95b5-b0835b9049bd,Quack Ordered to Mix Drug,فطلب طبيبًا ليهيّئ له ذلك الدواء فأتاه ذلك الرجل الذي زعم أنّه طبيب فأخبره أنّه طبيب عالم بالأدوية وأخلاطها فأمر بالأسفاط التي كانت فيها أدوية الطبيب ليأخذ منها ما يحتاج إليه من الأدوية,,فأمر أن يُطلب طبيبٌ ليهيّئ ذلك الدواء فأتاه الرجل الجاهل فأخبره أنّه عالمٌ عارفٌ بالأدوية وأخلاطها فدعا الملك بالأسفاط الذي فيها أدوية الطبيب,وإنّ السفيه المدّعي علم الطبّ أتاهم وأخبرهم أنّه بأخلاط ذلك الدواء وصنعته عالم فأمر الملك بإدخاله الخزانة ليأخذ من أخلاط ذلك الدواء ما يحتاج إليه,فجاء وادّعى علم الطبّ وأخبرهم أنّه بصير بمعرفة الأخلاط والعقاقير عالم بطبائع الأدوية المفردة والمركّبة فأمر الملك أن يُحمل إلى الخزائن ويأخذ من أخلاط الدواء حاجته,*فحضر وادّعى علم الطبّ وأخبرهم بأنّه عالمٌ بإخلاط ذلك الدواء,فأنفذ في طلب طبيب يعرف تلك الأدوية ويحسن خلطها فجاؤوا بطبيب جاهل فدخل على الملك وقال أنا طبيب حاذق ماهر عالم بخلط الأدوية قال فأمر الملك له [[بخلط]] {بإحضار} الأدوية والعقاقير والأسفاط التي كانت لذلك الطبيب العالم الماهر الذي قد كان أشار بذلك لأنّه كان محمود العاقبة في طبّه
275,60d6fdeb-b057-49af-92b9-ade5547eec5e,Quack Confuses Drug with Poison,فلمّا دخل الخزانة وعُرضت عليه الأدوية بلا معرفة بها أخذ فيما أخذ صرّة فيها سمّ قاتل فأخلطه مع الأدوية,,فوُضعت بين يديه فأخذ من أحدها صرّة فيها سمٌّ فجعل منها ومن غيرها زامهران,فلمّا دخل عُرضت عليه أخلاط الأدوية واعتسف السفيه بتكلّفه فأخذ منها شيئًا بغير علم ولا معرفة على الظنّ والشبهة فكان ممّا أخذ صرّة فيها سمّ قاتل,فلمّا دخل السفيه إلى الخزانة وعُرضت الأدوية عليه وليس يدري ما هي ولا له بها علم فأخذ في جملة ما أخذ منها صرّة فيها سمّ قاتل لوقته وخلطه في الدواء ولا علم له به ولا معرفة عنده بجنسه,فلمّا دخل الخزائن وأُعرضت عليه تلك الأدوية فأخذها بغير معرفة فوقع فيما أخد منها صرّة سمّ قاتل فاختلط مع الأدوية,قال فتركوا جميع ذلك بين يديه فقال في نفسه أنا أريد أخالطها من أدنى هذه العقاقير لعلّة علمه وجهله بالطبّ فأدخل يده في صرّة قد جمع فيها جميع السموم القاتلة من غير معرفة منه بذلك فخلط منها الدواء ولم يعلم ما هي
276,42f446fe-5ea3-4b25-b57b-328bc5e739e3,Quack Identifies Drug to King,,,,,,,فقال له الملك هذا ذامهرات الذي وصفوه الأطبّاء في طبّهم قال نعم
277,a9d35e6b-0b83-45d3-8738-a8c473fb602e,King Rewards Quack,,,فلمّا رأى الملك سرعة فراغه من ذلك ظنّ أنّه عالمٌ فأمر له بحلًى وكسوة حسنةً,,,,فلمّا رأى الملك سرعة إخلاطه الدواء أمر له بكسوة حسنة ودنانير وجواهر وغير ذلك فحمل ذلك إلى داره ثمّ عاد إلى الملك في اليوم الثاني فأخرج له الخمر فذوّب به [ملك] الأدوية
278,34384e24-1a34-4043-954b-d44abb8fea8a,Quack Poisons Princess,ثمّ سقى الجارية منها شربةً واحدةً فلم تلبثْ غير ساعة حتّى ماتت بنت الملك بتلك السقية,,وسقى الجارية منه فلم تلبثْ أن تقطّع أمعاؤها فماتت,فخلطه فيما خلط ثمّ سقى الجارية فلم تلبثْ ساعة حتّى ماتت,فلمّا تمّت أخلاط الدواء سقى الجارية منه شربة فلم تلبثْ أن ماتت في الحال,ثمّ سقى الجارية فوقعت *ميّتة,وسقاها الجارية فلمّا شربتها حصدت أمعاءها فماتت من ساعتها
279,0b3b6d9f-a958-4528-9d71-7dabc8f99798,King Has Quack Drink the Poison Too,فاسقاه من ذلك الدواء فمات لوقته,,وأمر أبوها فسُقي الجاهل من الذي صنع لها من الأدوية فهلك,فدعا الملك به فسقاه من الدواء الذي خلطه فمات من ساعته,فلمّا رأى الملك ذلك دعى بالسفيه فسقاه شربة من الدواء فمات,فأمر الملك أن يُسقى الطبيب من ذلك الدواء فسُقي منه شربةً فمات من ساعته,فحزن الملك عليها حزنًا شديدًا وأمر الملك عند ذلك أن يسقى الطبيب من ذلك الدواء فسُقي منه ومات مكانه لوقته
280,d6a2a7a7-a1bb-4418-a652-6094f9c025f6,Acting upon Suspicion is Wrong,وإنّما ذكرت لكم ذلك الحديث لتعلمون ما يدخل على القاتل بالشبهة من الزلّة والحرج وها أنا ذا البريء قائم بين أيديكم كما ترون,,,,وإنّما ضربت لكم هذا المثل لتعلموا ما يدخل على القائل من الزلّة والشبهة والحرج والخروج عن الحدّ,,
281,10092b8d-b825-4ab0-b328-79c71b9416d1,Speaking Ignorantly to Please Others Is Wrong,,أنّه لا ينبغي لأحد أن يتكلّم بما لا يعلم رضاء لغيره,وإنّما ضربت هذا المثل في جماعتكم كيلا تتكلّموا بما لم تعلموا تلتمسون به رضى غيركم,,,,قال دمنة وإنّما ذكرت لك هذا الحديث في جماعتكم لئلّا تقولوا قولًا فيه ابتغاء مرضاة أحدكم
282,6cb40ff1-dd83-43b5-9402-18237a244398,Dimna Interprets the Tale,,فإنّما يُجازى كلّ امرئ منكم بعمله وأنا بريء ممّا لُطّخت به وأنا بين أيديكم فاتّقوا الله ما استطعتم,فيصيبكم ما أصاب ذلك الطبيب الجاهل فإنّ العلماء قد قالوا إنّما جزاء كلّ أحدٍ بقوله وفعله وأنا بريءٌ ممّا لُطّخت به قائمٌ بين أيديكم,,فإن خرج أحد منكم عن حدّه أصابه ما أصاب ذلك الطبيب الجاهل ونفسه الملومة وقد قالت العلماء ربّما جُزي المتكلّم بقوله والكلام بين أيديكم فانظروا لأنفسكم,وإنّما ضربت لكم هذا المثل لتعلموا أنّ كلّ أحدٍ بالسيّئة خاطئٌ غير مصيبٍ وأنا البريء بين يديكم قائمًا,فيصيبكم في ذلك ما أصاب هذا الطبيب الجاهل فإنّ العلماء قد قالوا إنّما يجازَى كلّ إنسان بفعله وها أنا بين أيديكم كما ترون لا أستطيع نفعًا ولا ضرًّا
283,b6520f7e-bdd9-4ff1-b8a0-51d9f2f6317d,Dimna Praises the Prominent Courtier,,,,,,وفيكم سيّد الخنازير وعنده علمٌ بالأمور وتصاريف الأحوال ومنزلته من الأسد وأمّه كما تعلمون,
284,dac18e99-b087-4c87-9c7e-2449cbfcb6b0,Prominent Courtier/Head of Court Suggests Physiognomy,فتكلّم سيّد الخنازير لإدلاله ومنزلته من الأسد وأمّه فقال اسمعوا أيّها العلماء والأشراف مقالتي وفكّروا فيها بأخلاقكم,فقال [فقال] رئيس الخبّازين لثقته بمنزلته من الملك اسمعوا أيّها الجند وفكّروا فيما أقول لكم,فتكلّم سيّد الخنازير إدلالًا بمنزلته من الأسد وأمّه فقال اسمعوا معشر الجند وتفكّروا فيما أقول لكم,فتكلّم بعض من حضر وقال اسمعوا أيّها العلماء والأشراف مقالتي وفكّروا فيها بأحلامكم ومبلغ عقولكم وجهد رأيكم,فتكلّم سيّد الخنازير لإدلاله ومكانته عند الأسد فقال أيّها الأشراف والعلماء اسمعوا مقالتي وعوا بأحلامكم كلامي,فقام سيّد الخنازير وقال اسمعو أيّها العلماء والأشراف مقالتي وفكّروا في ذلك بأحكامكم,قال فتكلّم عند ذلك سيّد المجلس بدلالته ومنزلته عند الملك فقال لهم أيّها العلماء والأشراف استمعوا بمقالتي وفكّروا فيها بعقولكم
285,8addd248-818c-407e-80fd-ce79f2e92735,Bodily Marks Are Proof of Character,*لأنّ العلماء قد قالوا في سمات الصالحين أنّهم يعرفون بها وأنتم معاشر الأخيار بصنع الله إليكم وتمام نعمته عليكم تعرفون الصالحين من الطالحين بسيماهم وصورهم وتعرفون بالشئ اليسير الشئ الكثير وأشياء كثيرة سوى ذلك,فإنّ العالم لم يدع شيئًا من الآيات والعلامات إلّا وقد بيّنها,فإنّ العلماء لم يدعوا شيئًا من آيات الأسرار والأخبار إلّا قد ثبّتوه,فإنّ العلماء قد قالوا في باب الصالحين يُعرفون بذلك وقد نعتوه وكتبوه وكشفوه وأنتم معشر الأحبار بحسن صنع الله إليكم ونعمته عليكم فيما أكمل لكم من العقل تعرفون الصالحين بسيماهم وتكتفون بالشيء اليسير من ذلك,فإنّ العلماء قد قالوا في آيات الصالحين وآثارهم أنّهم يُعرفون بسيماهم وصورهم ويخبرون الشيء اليسير بالشيء الكثير,فإنّ العلماء قد قالوا إنّ الصالحين يُعرفون بسيماهم وأنتم بحسن صُنع الله بكم وبنعمته عليكم تعرفون الصالحين والمفسدين بسيماهم وصورهم,فأنتم تعلمون أنّ الصالحين يُعرفون من الظالمين بسماهم وصورهم ويُعرفون بالشيء اليسير من ذلك أشياء كثيرة
286,555a3487-3103-471e-ac58-81e21f97a2c4,Dimna’s Character is Visible in His Body,وقد ترون من علامات هذا الشقيّ دمنة فاطلبوا علم شأنه من تجربتكم فإنّه بيّن ظاهر في جسمه فصدّقوا وأيقينوا بما قيل فيه,وإنّ علامات الفجور في هذا الشقيّ ظاهرة وقد ظهر مع ذلك لنا سوءه,وإنّ علامات الفجور في هذا الشقيّ ظاهرةٌ وقد طار له مع ذلك ثنا سوءٍ,وإنّ أحقّ مَن لم يسأل عنه العامّة ولم يشكل على الخاصّة أمره لَهذا الخبيث الذي ظهرت فيه علامات الشرّ وشامات قد مضى رأي العلماء فيها,وها هنا علامات وأسباب تدلّ على هذا الشقيّ دمنة وتخبر عنه على ظاهر جسمه لتستيقنوا أو تسكنوا إلى ذلك,وها هنا أشياءٌ كثيرةٌ تدلّ على علامات هذا الشقيّ دمنة والدلائل على شرّه بائنةٌ فاطلبوا من يخبركم بشأنه فإنّه بيّنٌ ظاهرٌ في جسمه فتصدّقوا وتيقّنوا بما فيه من العلامات على نميمته وكذبه وعداوته للملوك وألزموه العقوبة الذي هو أهلها,وممّا تبيّن لي من ذلك وظهر لي من علامات هذا الشقيّ دمنة أنّ كثرة منطقه تدلّ على كذبه وحيله تدلّ على فجوره وسعايته فلا تطلبوا علم شأنه من غيركم وقولوا بما فيه من العداوة والنميمة للملك وألزموه العقوبة من أهلها
287,b6c0e31c-5df9-4052-841e-db709fe24ff6,Body Is the Truest Testimony a Person,,,,,,فقد قالت العلماء إنّ أوثق الشهادات على خُلق الرجل هو سمته والآيات التي تُرى في جسمه *مع ما يظهر عليه من سوء الثناء,
288,3ae8ef25-45eb-49db-bbfa-cfc4fbe64bdc,Dima's Evil Character Is Attested by His Behaviour and Reputation,,,,,,,فإنّ العلماء قالوا إنّ الأشياء تؤخذ بالدلائل في خسّته وفي كذبه وسوء الثناء عليه وقبح الأحدوثة والشرّ والسعاية وقد جُمعت هذه الخصال في هذا الشقيّ دمنة
289,da4d41fb-dd5e-4ecd-bba4-dd699616cfa4,Judge/Investigator/Audience Request Physiognomical Evaluation,قال القاضي لسيّد الخنازير قد عرفنا أنّك تعرف الصواب وعلامات السوء فأخبرْنا بما تعرف من صورة هذا الشقيّ دمنة,فقال عظيم الجند لرئيس الخبّازين قد سمعنا ذلك وقليل من يعرفه فـأعلمنا ما الذي رأيت في هذا البائس,فقال عظيم الجند لرأس الخنازير قد سمعنا ذلك وقليلٌ من يعرفه فأعلِمْنا ما الذي رأيت في هذا البائس,قال القاضي وما تلك العلامات والشامات فإنّا نعرف أمرها أكثر ممّا تعرف,قال لسيّد الخنازير إنّي قد علمت وعلم الحاضرون أنّك عارف بما في الصورة من علامات السوء ففسّر لنا من علامات السوء ما تقول وأطلعنا على ما ترى من صورة هذا الشقيّ,قال القاضي لسيّد الخنازير أنا أعلم أنّ من يعلم الصور وعلامات السوء في الناس قليل ففسّر وبيّن لنا ما ترى في صورة هذا الشقيّ الجسور من تلك الآيات التي كتب الأوائل بها,قال فقالوا أهل المجلس من الوحوش الكبار لسيّد الحبّارين قد علمت أنّ من يعرف الصور والآيات في الناس قليل فبيّنْ لنا ما تعرفه من صورة هذا الشقيّ وما في جسمه في تلك العلامات التي ذكرتها الأوّلون
290,ffc9811a-4be9-45f9-a91c-336552fa8d80,Prominent Courtier Diagnoses Dimna as Traitor,فقال إنّ العلماء قد كتبوا أن من كانت عينه اليسرى أصغر من عينه اليمنى وهي لا تختلج وكان أنفه مائلًا نحو شقّه الأيمن وهو بعيد ما بين الحاجين وعامّة نظره إلى الأرض وإذا مشى يكثر الالتفات فإنّ ذلك من أهل الغدر والفجور والنميمة وهذه كلّها في هذا الشقيّ دمنة,فقام رئيس الخبّازين فأخذ بيد دمنة فقال إنّا نجد في كتب العلماء أنّ من كانت عينه اليسرى صغيرة كثيرة الاختلاج وأنفه مائل إلى شقّه الأيمن وما بين حاجبيه من الشعر متباعد وإذا مشى نكّس رأسه ولا يزال ملتفتًا وراه فإنّه صاحب نميمة وغدر وهذه الآثار كلّها في هذا الشقيّ ظاهرة,فقام رأس الخنازير وأخذ بيد دمنة وقال إنّ في كتب العلماء أنّ من كانت عينه اليسرى صغيرةٌ كثيرة الاختلاج وأنفه مائلًا إلى شقّه الأيمن وما بين حاجبيه من الشعر متباعدًا ومنابت شعره ثلث شعرات ثلثًا وإذا مشى نكّس ولا يزال ملتفتًا إلى خلفه فإنّه صاحب نميمةٍ وفجورٍ وغدرٍ وهذه العلامات كلّها بيّنة في هذا الشقيّ,قال المتكلّم وجدنا في كتب العلماء أنّه من كان علاماته أن تكون عينه اليسرى أصغر من عينه اليمنى وكان مع ذلك كثير اختلاج العين مائل الأنف إلى شقّه الأيمن متباعد ما بين الحاجبين وكانت منابت شعر جسده ثلاثًا ثلاثًا وإذا مشى كان أكثر نظرًا إلى الأرض وإذا مشى أدار رأسه حتّى يصير وجهه خلفه فذلك مستجمع للغدر والبغي على الصالحين وهذه العلامات كلّها في دمنة,فأخذ سيّد الخنازير بيد دمنة وقال إنّ العلماء قد كتبوا وأخبروا أنّه من كانت عينه اليسرى أصغر من عينه اليمنى وهي لا تزال تختلج وكان أنفه مائلًا إلى شقّه الأيمن وكان منبت شعره ثلثًا ثلثًا وعامّة مشيه إذا مشى يُكثر الالتفات يمينًا وشمالًا فذلك يحدّث نفسه بالغدر والخبث وقد عرفت بما ثبت عندي من هذه العلامات أنّ ذلك كذلك وهذا رأيي وعليه عزمي,فأخذ سيّد الخنازير بيد دمنة ثمّ قال قالت العلماء إنّ من كانت عينه اليسرى أصغر من عينه اليمنى وهو لا يختلج وكان أنفه مائلًا نحو شدقه الأيمن وإذا مشى يضرب نظره إلى الأرض فذلك يحثّ نفسه بالغدر والمكر والخديعة والبغضة للصالحين وهذه العلامات كلّها في هذا الآثم,قال فأخذ عند ذلك يذمّ دمنة ثمّ قال قد ذكروا أنّ العلماء قد ذكروا أنّ من كانت عينه اليسرى أصغر من اليمنى وكان أنفه مائلًا إلى شِدقه الأيمن بعيد ما بين الحاجبين وكانت منبت شعره ثلاثًا ثلاثًا في جسمه وإذا مشى يكثر الالتفات إلى خلفه فإنّ ذلك من أهل النميمة والعداوة والمكر والخديعة والسعاية في الناس وهذه العلامات كلّها قد بانت لي في هذا الشقيّ دمنة وهي غير خافية على كلّ ذكيّ
291,741c7ecd-9b39-46c1-85e9-b93087cbce75,Bodily Marks Are Claimed to Predict Deeds,قال دمنة كلّنا تحت سماء الله وبعينه فاسمعوا ما أقول فأنا قائل بين يدي ربّي وهذا العالم أيّها المتكلّم إن كان الخير والشرّ الذي يعمل الناس به إنّما يُعرف بالشامات والعلامات التي تكون في الناس,فقال دمنة نحن كلّنا تحت السماء ولسنا فوقها وأنتم ذو الحلم والعلم بالكلام وقد فهمتم ما قال هذا فاسمعوا منّي كأنّه لا يضرّ أحدًا فإنّه إن كان ما ذكر من العلامات حقًّا,فقال دمنة نحن كلّنا تحت السماء ولسنا فوقها وأنتم ذوو الأحلام وتقيسون بالعلم الكلام وقد فهمتهم ما قال فاستمعوا منّي فإنّه يظنّ أنّه لا أحدًا أعرف بالأمور منه وأنّه لا عِلمَ إلَّا عِلمُه وإن كان ما ذكر من العلامات حقًّا,فلمّا أمضى في *قوله قال دمنة إنّ حكم الله على خلقه عدل لا جور فيه وصواب لا خطأ فيه ولو كانت هذه العلامات التي ذكرتها يُصاب بها وبأشباهها وجه العدل لَما احتاج ولاة أهل الحقّ وحكّامهم معها إلى البيّنات والحجج,فإن كان الأمر على ما تقول,,فقال له دمنة مِن ها هنا تصيبون الكلام وتتركون الحكم فاسمعوا منّي ما أقول لكم ودبّروه بعقولكم وقد سمعتم ما قال هذا فإنّه يظنّ أنّ لا أحدًا أعرف منه
