unit_order,unit_id,unit_title,R2536,Met-1981.373,A4095,L4044,P3466,R2407,P5881
155,aa787110-4966-4866-b55b-88ce69e4970f,Dimna Says His Merit Protects Him from Calumny,,,,,,,وقد علمت أنّ الله تعالى يعيذه أن يهلك مثلي وأنا من أهل ودّه ونصيحته فلا تأخذني بقول أهل الكذب والفجور من غير ذنب ولا جرم
156,c6816ca2-6aa1-41cb-b070-5e3c90d7dbec,Dimna Asks Lion Not to Hurry Without Investigation,,,,,,,
157,ed5390a3-49e1-412c-a3c0-f1261edad854,Man Strives for the Good as Best He Can,,,,,,,
158,0e81b974-5ad5-48ca-9f8d-b660a35359a5,Dimna Demands Self-Sacrifice from All Servants,,,,وينبغي للحقير مثلي من عبيد الملك الموسوم بالعبوديّة أن يسلم نفسه فيما يصلح للملك العظيم التقيّ مثلك ثمّ وجب عليه أن يختار عاجل عقوبة الدنيا على آجل عقوبة الآخرة,,,
159,1843eeee-cfe9-4ef0-992d-551672b8c3ff,First Speaker Accuses Dimna of Self-Interest,فقال بعضهم لم تنطق بهذا *لحبّك للملك ولا لكرامته عليك إلّا لخاصّة نفسك والتماس العذر ممّا وقعت فيه منه,فقال بعض الجند إنّك لم تنطق بهذا لحبّ الملك ولا لكرامته ولكن نطقت به لخاصّة نفسك والتماس العذر ممّا وقعت فيه,فقال بعض جلساء الملك لم تنطق بهذا لحبّ الملك ولا لكرامته عليك ولكن ذلك للدفع عن نفسك ولطلب الخلاص من الورطة التي قد لزمتك والتماس العذر ممّا وقعت فيه,فقال بعض من حضر الملك من جنوده أيّها الملك إنّ دمنة ليس يقول ما يقول تعظيمًا للملك ولا توقيرًا له ولكنّه يريد أن يدفع عن نفسه ما قد نزل به من عاقبة سوء عمله,,,قال فبينما هو في هذا القول إذ قال له بعض الجند يا دمنة لم تنطق بهذا الكلام حبًّا للملك ولا كرامة لكن لخلاص نفسك ممّا وقعت فيه
160,f29876a4-0363-4dbb-aa43-c7363201e525,Dimna Claims Right to Self-Defense,*** ويلك وهل على *امرئ في التماس ذلك لنفسه وطلبته ... وهل أحد أقرب إلى الانسان من نفسه فإنْ هو لم يلتمس الحذر لها فلمن يلتمس,قال دمنة ويلك وهل على امرئ عار إذا التمس العذر لنفسه وهل أحد أقرب إلى الإنسان من نفسه فإذا لم يلتمس لها العذر فلمن يلتمسه,فأقبل عليه دمنة فقال إنّي إن كنت كما ذكرت فلست أجدني مخصومًا ولا ملامًا على دفع البلاء عن نفسي ما استطعت والتماس البراءة لها وجرّ العافية إليها ولا أجد أقرب إلى الإنسان من نفسه ولا أولى بنصحها وإظهار عذرها منه,قال دمنة من يحفظ نفسي إن أضعتها ومن يرفعها إن وضعتها هل لي نفس غيرها فأدفع عنها الردى,,,فقال دمنة مجيبًا هل عليّ في ذلك عيب وهل !عيب أقرب إلى الإنسان من نفسه فإذا قام بعذره لم يمقت وإذا لم يقم عنها العذر فمن يعتذر
161,d606398d-7b99-4040-bf52-029b36b87557,Dimna Insults the First Speaker,,,فأمّا أنت فلك الويل بما أظهرت من ضعف عهدك وودّك لنفسك وسوء حالها عندك وإنّك عدوّها فمَن دونها أولى,,,,
162,47aa1ddf-b194-449f-a488-a71a9fb25ab8,Who Does Not Protect Himself Is Useless to Others,وقد قالت الحكماء من لم يحفظْ نفسه فهو لغيرها لا يصلح,,وقد قالت العلماء إنّ المستهجن لنفسه المبغض لها بغيرها أشنأ وأقطع ولمن سواها أغشّ وأرفض,ولن يصون رهطه من لم يصنْ نفسه أوَما علمتَ أنّه ليس على المرء في التماس العذر لنفسه من غيره عار,,,
163,8c4b3c4f-5aae-4603-a108-9684ac8ba994,Dimna Calls First Speaker Self-Hating,ولقد ظهر منك ما لم تملكْه من البغي والحسد والبغضاء والجهل ولقد عرف من سمع ذلك أنّك لا تودّ لأحد خيرًا وأنّك عدوّ لنفسك ومن دونها ومثلك لا يصلح أن يكون مع البهائم فكيف مع الملك وحضور بابه,وقد ظهر منك ما لم تكن تملكه من الحسد والبغضاء وعُرف حين سُمع قولك أنّك لا تودّ لأحد خيرًا وأنّك عدوّ نفسك فمن دونها ومثلك لا يصلح إلّا أن يكون مع البهائم ولا ينبغي أن يكون بباب الملك,وما أنزّه الملك عن صحبتك بل أجدني منزّهًا للبهائم عن أخلاقك مكرّمًا لها عن خلطتك,لقد ظفرت منك بما لم تملكْه من الحسد والشرّ والبغضاء والعداوة فمثلك لا يصلح أن يكون بباب الملك أو يعرفه بل ولا ينبغي أن يكون مع دوابّه أيضًا,,,ومثلك لا ينبغي أن يكون لسانًا للسلطان بل ينبغي له أن يكون مع دوابّه
164,0ad278e3-f5d5-4171-a4fd-2572557932f8,First Speaker Leaves Dejected/Is Silenced,فلمّا أجابه دمنة بذلك خرج مكتئبًا حزينًا مستحيًا ممّا كلّمه به دمنة,قال فلمّا أجابه دمنة بذلك خرج مكتئبًا حزينًا مستخفّيًا مستحيًا,فلمّا سمع ذلك من دمنة لم يُحِرْ جوابًا,,,فلمّا سمع ذلك النمر خرج *من عند الأسد مستحيًا مفكّرًا,
165,b075a41d-e49e-494f-a769-bd5acaddf7f3,The Mother Is Amazed by Dimna's Verbosity,فقالت أمّ الأسد إنّ من العجب انطلاق لسانك بالقول والأمثال مجيبًا لمن تكلّم وقد كان منك الذي كان من الفجور والمنكر والغشّ,قالت أمّ الأسد لدمنة إنّ أعجب العجاب [[إطلاق]] [لسانك] إطلاق لسانك بالجواب وقد كان الذي كان منك,فقالت أمّ الأسد إنّ من العجب انطلاق لسانك بالقول مُجيبًا لمن تكلّم وقد كان منك الذي كان,,فقالت أمّ الأسد لقد عجبت منك أيّها المحتال لقلّة حيائك وسرعة جوابك,فقالت أمّ الأسد لقد عجبت أيّها المحتال لقدر صولتك وقبحك بالكلام وجرأتك أيهّا المحتال,قالت له أمّ الأسد إنّ العجب من إطلاق لسانك بالقول مجيبًا لكلّ من تكلّم في أمرك بالحقّ أو قال ما يعلمه منك بالصدق وقد كان منك <ما كان>
166,3422e6e2-27ca-4846-879e-3dd5a45a48f6,Dimna Calls the Mother Biased,فقال دمنة لأيّ شئّ تنظري بعينٍ واحدةٍ وتسمعين بأذن واحدةٍ ولا تنظرين في الأمر وتستيقينه ولكن تركبين فيه هواك من غير علم ولكن أرى شقوة جدّي عندك قد غيّرت كلّ شئّ من شأني فليس أحد ينطق بحقٍّ ولا ينطق إلّا بالهوى,قال دمنة ما لي أراك تنظرين بعين واحدة وتسمعين بأذن واحدة وكذلك شقي جدّي مع أنّي أرى كلّ شيء تغيّر وتنكّر وما لي أحد ينطق بعذري ولا يقوم به ولا يتكلّم إلّا بهواه,فقال دمنة فعلامَ تنظرين بعينٍ واحدةٍ وتسمعين بأذنٍ واحدةٍ ولذلك شقي جدّي مع أنّي أرى كلّ شيءٍ تغيّر وتنكّر فليس أحدًا ينطق بحقٍّ ولا يتكلّم إلّا بالهوى,,قال دمنة لأمّ الأسد لأيّ حال تنظرين بعين واحدة وتسمعين بأذن واحدة مع أنّي لشقاوة جدّي قد رُوي عنّي كلّ شيء حتّى لقد سعوا إلى الملك بالنميمة عليّ,فقال دمنة لأمّ الأسد لأيّ شيء تنظرين بعنٍ وتسمعين بأذن واحدةٍ فمع ذلك إنّ شقاوة جدّي قد غيّر لي كلّ شيء فصاروا الناس لا ينظرون أحيانًا في أمري بالحقّ وصار كلّ شيءٍ يدنو من الاثنين يُنظر بالنميمة,فقال لها دمنة لأيّ شيء {تبصرين} [[فون]] بعين واحدة وتسمعين بأذن واحدة مع أنّي أرى كلّ شيء تغيّر *وتناكر فصار الناس لا ينطقون بالحقّ في أمري وصار كلّ واحد يتكلّم بالنميمة والسعي في شأني
167,f63e669c-d5d8-4677-8747-db59a2abf264,Dimna Finds Lion's Lenience Makes Courtiers Lie,ومن بباب الملك من يفتهم برأفته وطمأنينتهم إلى كرمه لا يتّقون ذلك أن يتكلّمون بأهوائهم فيما وافق الحقّ وخالفه لأنّه لا يغيّر عليهم ولا يرد رأيهم,وقد صار بباب الملك يتكلّمون بأهوائهم فيما وافق الحمق أو خالفه لا يردّ عليهم ولا ينتهون عنه لما بلوا من حلمه ولين عريكته وصفحه وتجاوزه,ومن بباب الملك لثقتهم بلينه وطمأنينتهم إلى كرمه لا يتقّون ذلك فيما وافق الحقّ أو خالفه لأنّه لا يغيّر عليهم ولا ?يتدههم ولا يزجرهم,,,,وصار كلّ من في باب الملك لا يقبل منّي كلامًا ولا عذرًا ممّا عليهم من الحقد والفساد ولا يدرون ما يقولون في أمري
168,ad0201da-c896-4cad-aec6-6ead738d85cd,Dimna Criticizes Courtiers for Speaking Indiscriminately,,,,,حتّى لقد صار مَن بباب الملك لاستخفافهم وطول كرامته إيّاهم وما هم فيه من العيش والنعمة لا يدرون في أيّ وقت ينبغي لهم الكلام ولا متى يجب السكوت,,
169,4d86f1d2-382b-4035-a26c-c050b243107f,Dimna Treats His Case as Exemplum,وهذا موضع العظة إن نفعت والأمثال إن قُبلت,,,قال دمنة هذا موضع العظة إن قُبلت وموضع الأمثال إن سُمعت,,,
170,5edf6971-b38d-4218-bed2-7e731207f1d7,The Mother Chastises Dimna's Duplicity,فقالت أمّ الأسد انظروا إلى الغادر الفاجر الذي قد ركب الأمر العظيم وهو يأخذ بأعين الناس ليبطله ويبرّئ نفسه منه,فقالت أمّ الأسد انظروا إلى هذا الغادر الفاجر الذي ركب من الأمر العظيم ما ركب وهو يريد أن يأخذ بأعين الناس ويبرّئ نفسه,فقالت أمّ الأسد انظروا إلى هذا الفاجر الذي يركب الأمر العظيم ثمّ هو يأخذ بأعين الناس ليُبطله ويُبرّئ نفسه منه,,قالت أمّ الأسد انظروا إلى هذا الغادر كيف يدع نفسه بريئًا كمن لا ذنب له,قالت أمّ الأسد انظروا هذا من عظمة ذنبه أن يجعل نفسه بريئًا كمن لا ذنب له,قالت أمّ الأسد انظروا إلى هذا الغادر الفاجر الذي يركب الأمر العظيم ثمّ يأخذنا بخداعه ومكره ليبطله ويبرّي نفسه
