unit_order,unit_id,unit_title,A4095,CCCP578,Met-1981.373,P3465,P3471,R2536,P3473,P5881,P3475
51,86e04645-6049-4eac-bc7e-faf08e6c6290,Trader with Pearl and Cymbal Player,مثل التاجر الذي زعموا أنّه كان له جوهر كثير فاستأجر لثقبه وعمله رجلًا بمائة دينار يومه إلى الليل فانطلق به إلى بيته فلمّا جلسا إذا بصنج موضوع فنظر إليه فقال له التاجر تحسن أن تضرب به قال نعم قال فدونك فتناوله وكان به ماهرًا فلم يزل يسمّعه صوتًا حسنًا مصيبًا وترك سفط جوهره مفتوحًا وأقبل عليه فلمّا أمسى قال مر لي بأجرتي قال وهل عملت شيئًا قال نعم عملت ما أمرتني به فوفّاه أجرته وبقي ما استأجره عليه غير معمول,مثل التاجر الذي زعموا أنّه كان له جوهر ثمين فاستأجر لثقبه وعمله رجلًا بعشرة دنانير كلّ يوم فانطلق به إلى منزله فلمّا قعدوا في البيت فإذا صنجًا موضوعًا فقال الصانع للتاجر أتريد أن ترى ضربي فقال نعم وكان ماهرًا به فلم يزل يسمعه من صوت جيّد وضرب مضطرب حتّى أمسى وترك الجوهر معطّلًا وأقبل على الضرب واللهو فلمّا أمسى قال الرجل للتاجر مر لي بأجرة يومي فقال وهل عملت شيئًا تستوجب عليه أجرة قال نعم عملت ما قد أمرتني به أن أعمله وقد استحققت عليك أجرة يومي فوفّاه عشرة دنانير أجرة يومه وبقي سفطة الجوهر غير مثقوب,إنّما هو مثل رجل تاجر كان له جوهر فاستأجر لثقبه رجلًا بمائة دينار وانطلق به إلى بيته وإذا في ناحية البيت صنج موضوع فأخذه الثقّاب وحسبه فقال له التاجر أتحسن الضرب به قال وفوق ذلك فقال له دونك فتناوله وكان به ماهرًا فلم يزل يسمعه ضربًا حسنًا والسفط مفتوح والجوهر ملقى حتّى كان المساء فقال من لي بأجرتي فقال له أوقد عملت شيئًا قال نعم قال وما عملت قال عملت ما أمرتني به فوفّاه أجرته وبقي الجوهر غير مثقوب,ما أصاب التاجر وهو أنّه كان تاجر له جوهر نفيس فاستأجر لثقبه رجلًا في اليوم بمائة دينار وانطلق به إلى منزله ليعمل وإذا في ناحية البيت صنج موضوع فقال له التاجر للصانع هل تحسن أن تلعب بالصنج قال نعم وكان بلعبه ماهرًا فقال له التاجر دونك والصنج فأسمعنا ضربك به فأخذ الرجل الصنج ولم يزل يسمع التاجر الضرب الصحيح والصوت الرفيق والتاجر يشير بيده ورأسه طربًا حتّى أمسى فلمّا حان الغروب قال الرجل للتاجر اؤمر لي بالأجرة فقال له التاجر وهل عملت شيئًا تستحقّ به الأجرة فقال له عملت ما أمرتني به وأنا أجيرك فيما استعملتني عملت ولم يزل به حتّى استوفى منه مائة دينار وبقي جوهره غير مثقوب,وأمّا مثله فيما ذهبت فيه أيّامه بما يلهيه عمّا ينفعه مثل التاجر الذي زعموا أنّه كان له جواهر استأجر لثقبه وعمله ونظمه رجلًا بمائة دينار ليومه فانطلق به إلى منزله فلمّا جلس إذ هو بصنج موضوع فشخص ينظر إليه قال له التاجر هل تضرب بالصنج قال وثيق الضرب أيضًا قال فدونك فتناول الرجل الصنج وكان يضرب به ماهرًا حاذقًا فلم يزل يسمعه من صوت جيّد وضرب مصيب حسن ماهر حتّى أمسى التاجر وهو لاه بذلك الصنج طرب عليه فقال له الصانع مر لي بأجرتي قال التاجر وهل عملت عملًا فتأخذ له أجرة قال له الصانع عملت الذي أمرتني فوفّاه مائة دينار وبقي جوهره غير مثقوب,كتاجر زعموا أنّه كان له جوهر غير مثقوب فاستأجر لثقبه رجلًا بمائة دينار كلّ يوم فانطلق به التاجر إلى منزله فلمّا دخل الرجل البيت,فقال له التاجر هل تحسن الضرب في هذا العود قال نعم وأجيده فقال دونك وإيّاه فألهِنا به ما دمت أعالج فتح السفط فتناوله الصانع وكان به ماهرًا فلم يزل يسمعه من جيّد الضرب وحسن صوته الرخيم ونغماته المطربة الممتعة والتاجر يستزيده إلى أن أمسى فقال الصانع للتاجر زن لي أجرتي فقال له التاجر وهل عملت شيئًا لتأخذ له أجرًا فقال الصائغ عملت ما أمرتني به فوجبت له الأجرة حكمًا فقبضها منه وبقي جوهر التاجر بحاله,إنّما مثله فيما ذهبت به أيّامه مثل تاجر كان له من الجوهر شيئًا كثيرًا فاستأجر لثقبه رجلًا وجعل له على ثقبه مئة دينار فانطلق به إلى بيته فإذا في بيته جنك مربوط فقال له تحسن تربط به قال نعم فقال له دونك وإيّاه فتناوله وكان به ماهرًا فلم يزل يسمعه صوتًا بعد صوت وترك سفطه مفتوحًا ما التفت إليه وهو على ضربه وغنائه فلمّا أمسى قاله له عليّ بأجرتي فقال له صاحب الجوهر وهل عملت شيئًا قال نعم عملت ما أمرتني به من غنائي بهذه الآلة فدفع له أجرته مئة دينار وبقي جوهره غير معمول قال برزويه,
52,d482b6c7-ff96-45c3-afe9-a516a81888fa,Burzoy is Attracted by Asceticism,فلم أزدد في أمور الدنيا نظرًا إلّا أحدث لي ذلك فيها زهدًا ورأيت أن أعتصم بالتألّه والنسك ووجدتهما اللذين يمهّدان للعباد كما يفعل بالمرء أبوه,ولم الحريزة في دفع الشرّ ورأيته,فما ازددت في أمر الدنيا نظرًا إلّا ازددت زهدًا فرأيت أن أعتصم بالنسك والخير ورأيتهما اللذين يمهّدان للمعاد كما يفعل بالمرء أبواه,فلم أزدد في الدنيا وشهواتها نظرًا إلّا ازددت فيها زهادة ومنها هربًا ووجدت النسك هو الذي يمهّد الدين كما يمهّد الوالد لولده,فلم أزدد في أمور الناس والدنيا نظرًا إلّا ازددت فيها زهادة فرأيت أن أعتصم بالتألّه والنسك ورأيتهما يمهّدان للعبد في المعاد كما يمهّد للولد أبواه ورأيتهما كالجنّة الحريزة,فلم أزدد في أمور الدنيا نظرًا وفي شهواتها نخبًا إلّا ازددت فيها زهدًا فرأيت أن أعتصم بالنبالة والنسك ورأيت النسك هو يمهّد للمعاد,فلم أزدد من الدنيا وشهواتها نظرًا إلّا ازددت فيها زهادة ومنها هربًا ووجدت النسك هو الذي يمهّد للمعاد كما يمهّد للولد أبواه,فلم أزدد في أمور الدنيا نظرًا إلّا حدث لي فيه زهدًا فرأيت أن اعتصم بالله واتمسّك للمعادّ كما يمهّد للولد أبواه ورأيته كالجنّة الحريرة في رفع الشرّ الباقي الدائم,
53,9cecbdc3-194e-48e7-b67a-d500081980ca,Asceticism Is Like a Garden,وشبّهتهما الجنّة الحريزة في دفع الشرّ الباقي الدائم ورأيتهما الباب المفتوح إلى الجنّة ووجدت الناسك قد فكّر فَعَلَتْه السكينة وشكر فتواضع وقنع فاستغنى ورضي فلم يهتمّ وخلع الدنيا فنجا من الشرور ورفض الشهوات فصار طاهرًا وانفرد فكُفي الأحزان فأطرح الحسد فظهرت منه المحبّة وسخت نفسه عن كلّ شيء فان فاستكمل العقل وأبصر العاقبة فأمن من الندامة ولم يخف الناس فرهب منهم ولم يذنب إليهم فسلم فلم أزدد في أمر النسك تفكّرًا إلا أحدث لي عليه حرصًا فهممت أن أكون من أهله,الباب المفتوح إلى الجنّة دار النعيم ووجدت أزدد من الدنيا وشهوتها نظرًا إلّا أزداد فيها زهادة فرأيت أن أعتصم بالتألّه الناسك قد ذكر فعَلَته السكينة وشكر فتواضع وقنع فاستغنى ورضي فلم والنسك ورأيت النسك يمهّد للمعاد كما يمهّد الوالد لولده ورأيته الجنّة يهتمّ وخلع الدنيا فنجا من الشرور ورفض الشهوات فصار طاهرًا وانفرد فلقي الأحزان وأطرح الحسد فظهرت له المحبّة وسخت نفسه عن كلّ شيء فان واستكمل العاقلة وأبصر العافية فأمن الندامة ولم تخفه الناس ولم يخفهم ولم يذنب إليهم فسلم فلم أزدد في النسك نظرًا إلّا ازددت فيه رغبة حتّى هممت أن أكون من أهله,ورأيتهما الباب مفتوح إلى الجنّة دار النعيم ووجدت من فكّر فعلته السكينة فشكر وتواضع فقنع فاستغنى ورضي فلم يهتمّ وخلع الدنيا فنجا ورفض الشهوات فصار طاهرًا وانفرد فكفى الإخوان العناء وترك الحسد فظهرت منه المحبّة وسمحت نفسه بكلّ شيء فاستكمل العقل وأبصر العاقبة فأمن الندامة ولم يخف الناس فيهرب منهم ولم يذنب فيآيس من السلامة فلم أزددْ في النسك تفكّرًا إلّا ازددت عليه حرصًا وهممت أن أكون من أهله,ووجدته هو الباب المفتوح إلى النعيم المقيم ووجدت الناسك قد تدبّر فعلته بالسكينة فشكر وتواضع وقنع فاستغنى ورضي ولم يهتمّ وخلع الدنيا فنجا من الشرور ورفض الشهوات فصار طاهرًا واطّرح الحسد فوجبت له المحبّة وسخت نفسه بكلّ شيء واستعمل العقل فوجبت له العاقبة فأمن الندامة ولم يخف الناس ولم يدبّ إليهم فسلم منهم فلم أزدد في أمر النسك نظرًا إلّا ازددت فيه رغبة حتّى هممت أن أكون من أهله ثمّ تخوّفت ألّا أصبر على عيش النسّاك ولم آمن إن أنا تركت الدنيا وأخذت في النسك أن أضعف عن ذلك ورفضت أعمالًا كنت أرجو عائدتها وقد كنت أعملها فأنتفع بها في الدنيا مثلي مثل ذلك الكلب الذي مرّ بنهر,ورأيتهما كالباب المفتوح إلى الجنّة دار النعيم المقيم ووجدت القانع قد رضي فعلته السكينة وسكن فتواضع وقنع فاستغنى ورضي ولم يهتمّ وخلع الدنيا ونجا من شرّها ورفض الشهوات فصار ملكًا حرًّا وانفرد فكُفي الأحزان وطرح الجسد فظهرت منه الجثّة وسحب نفسه عن كلّ فان فاستكمل العقل وأبصر العاقبة فأمن الندامة ولم يخف الناس ولم يذنب فسلم فلم أزدد في أمر النسك نظراً إلّا ازددت فيه رغبة حتّى هممت أن أكون من أهله,ورأيته هو الباب المفتوح إلى الجنّة ووجدت الناسك قد فكّر فغلبته السكينة وسكن فتواضع وقنع فاستغنى ورضي فلم يهتمّ وخلع الدنيا فنجا من الشرور ورفض الشهوات فصار طاهرًا وانفرد بكنيب الأحزان وطرح الحسد فظهرت له المحبّة وسخت نفسه عن كلّ شيء فان واستعمل العقل فأبصر العافية وأمن الندامة ولم يخف الناس فلم يخيفهم ولم يذنب فسلم فلم أزدد في النسك نظرًا إلّا ازددت فيه رغبة حتّى فهمت أن أكون من أهله,ووجدته هو الباب المفتوح للجنّة دار النعيم ووجدت الناسك قد فكّر وسكن وتواضع وقنع فاستغنى ورضي فلم يهتمّ وخلع الدنيا فنجا من شرورها ورفض الشهوات فصار طاهرًا وتفرّد فكُفي الأحزان وأطرح الحسد فظهرت له المحبّة وشمخت نفسه عن كلّ فان فاستكمل العقل وأبصر العاقبة فآمن الندامة ولم يخف الناس ولم يخافوه ولم يذنب إليهم فسلم منهم ولم أزدد في أمر النسك نظرًا إلّا ازددت فيه رغبة حتّى هممت أن أكون من أهله,ورأيت الباب مفتوحًا المفتوح إلى الجنّة إلى جنّة دار النعيم ووجدت الناسك قد تذكّر فعلّمته السكينة وشكر فتواضع وقنع فاسمعني ورضى ولم يهتمّ وخلع الدنيا فنجا من الشرور ورفض الشهوات فصار حرًّا طاهرًا وانفرد فكفى الأحزان وطرح الحسد عن قلبه فتجدّدت له المحبّة وسخت نفسه عن كلّ شيء فان فاستكمل له العقل وأبصر العاقبة وأمن الندامة ولم يخف الناس ولم يرهب منهم ولم يذنب فسلم فلم ازدد في النسك تفكّرًا إلّا ازددت فيه حرصًا وهممت أن أكون من أهله,
54,78968914-2484-4555-b33e-89ef7fb7fb8e,Burzoy Fears Not to Bear Asceticism,ثم تخوّفت أن لا أصبر على عيشهم وأن تردّني العادة التي جريت عليها وغُذّيت بها ولم آمن إن أنا خلعت الدنيا وأخذت في النسك أن أضعف عنه وأكون قد رفضت أمورًا كنت,حتّى تخوّفت أن لا أصبر على عيش النسّاك وأن تضرّ بي العادة التي بها رُبّيت وغُذّيت ولم آمن إن أنا خلّيت الدنيا وأخذت بالنسك أن أضعف عن ذلك فأكون قد رفضت أعمالًا ما أرجو عائدتها كنت أعملها غير ذلك فيكون مثلي في ذلك مثل الكلب الذي مرّ بنهر وفي فيه ضلع فرأى ظلّ ذلك الضلع في الماء فأهوى ليأخذه فأهلك ما كان في فيه ولم يصل إلى ما طلب,ثمّ تخوّفت أن لا أصبر على عيش النسّاك وأن أرجع إلى العادة التي جريت عليها وغُذّيت بها ولم آمن إن أنا اجتنبت أمر الدنيا أن أضعف عنه وأكون قد رفضت أمورًا كنت أرجو عائدتها فأكون كالكلب الذي مرّ بنهر وفي فيه ضلع فرأى ظلّه في الماء الذي في النهر فأهوى إليه ليأخذه فسقط الذي كان في فيه فذهب ولم يدرك الذي أمّل من غيره فهبت,ثمّ تخوّفت ألّا أصبر على عيش النسّاك ولم آمن إن أنا تركت الدنيا وأخذت في النسك أن أضعف عن ذلك ورفضت أعمالًا كنت أرجو عائدتها وقد كنت أعملها فأنتفع بها في الدنيا مثلي مثل ذلك الكلب الذي مرّ بنهر,ثمّ تخوّفت أن لا أصبر على عيش النسّاك وأن تضطرّني العادة التي بها غديت إلى عودتها ولم آمن إن أنا خلعت الدنيا ولزمت النسك أن أضعف عن ذلك فأكون قد رفضت أعمال كنت أرجو عاقبتها فكنت أعملها قبل ذلك فيكون مثلي في ذلك مثل الكلب الذي مرّ بنهر وفي فيه ضلع فرأى خيالها في الماء فأهوى ليأخذها فوقع ما كان في فمه ولم يحصل على شيء,ثم تخوّفت ألّا أصبر على عيش النسّاك وأن تضرّ بي العادة التي بها رُبّيت وعليها غُذّيت ولم آمن إن أنا رفضت الدنيا وأخذت النّسك أن أضعف عن ذلك فأكون قد رفضت أعمالًا كنت أعملها أرجو عائدها فيكون مثلي مثل كلب مرّ بنهر وفي فيه ضلع فرأى ظلّ الضلع في الماء فأهوى إليه ليأخذه فلم يجد عليه شيئًا وأهلّه ما كان فيه فهيّبه,ثمّ تخوّفت أن لا أصير على عيش الناسك وأن يضرّ بي العادة التي تقدّمت فيها فيكون إذًا مثلي مثل الكلب الذي مرّ بنهر و في فيه عظم فرأى ظلّ العظم في الماء فأهوى إليه ليأخذه فأهلك ما كان معه في فيه ولم يجد في الماء شيئًا,ثمّ تخوّفت أنّي لا أصبر على عيشهم وأن يجري بي العادة التي أنا عليها وعذّبت بها ولم آمن إن أنا خلعت الدنيا وأخذت به أن أضعف عنه وأكون قد رفضت أمورًا كنت أعملها قبله وأرجو عابدتها فأكون في ذلك كالكلب الذي مرّ بنهر وفي فيه ظلع فرأى ظلّه في الماء فأهوى إليه ليأخذه فترك الذي كان معه ولم يدرك الذي أمله من غيره,
55,8cb13dc7-f562-4c26-9a71-53cc459d04d7,Burzoy Refrains From Asceticism,فهبت النسك هيبة شديدة وأحجمت عن الإقدام عليه وخفت على نفسي من الضجر فيه وقلّة الصبر عليه ودعاني الهوى إلى الرضا بما كنت عليه من حالي في الدنيا والثبوت عليها ثمّ,فهبت النّسك هيبة شديدة وخفت من نفسي الضجر وقلّة الصبر وأردت الثبوت على حالتي التي كنت عليها,التنسّك وتنحّيت عنه وخفت من نفسي الضجر وازددت ثبوتًا على حالي التي كنت عليها ثمّ,,فهبت النسك هيبة شديدة وخفت على نفسي الضجر وقلّة الصبر وأردت الثبات على حالي التي كنت,فهبت النّسك هيبة شديدة وخفت من نفسي الضجر وقلّة الصبر وأردت الثبوت على الحال التي كنت عليها,فهبت النسك هيبة زائدة وخفت من نفسي الضجر وقلّة الصبر وأردت الثبوت على حالتي التي كنت عليها,فهبته وجبنت عنه وخفت من نفسي الضجر فيه وقلّة الصبر عليه وأردت الصبر على حالتي التي كنت عليها,
56,df0ecae4-5dae-4184-9794-98a844717a25,Passage 2,,,,,,,,,
57,00388306-9d0d-4cd6-9e32-17e2891cb974,Weighs World Vs Asceticism,بدا لي أن أقيس بين ما أتّفق أن لا أقوى عليه من الآذى والضيق في النسك وبين الذي يصيب صاحب الدنيا من البلاء فيها فكان يتحقّق عندي أنّه ليس من شهواتها ولذّاتها شيئًا إلّا وهو متحوّل مكروهًا وحزنًا وأنّه,ثمّ بدا لي أن أقيس بين ما أخاف ولا أصبر عليه من الأذى والضيق في النسك وبين الذي يصيب صاحب الدنيا من البلاء فيها وكان بيّنًا عندي أنّه ليس من شهوات الدنيا ولذاذتها إلّا وهو متحوّل إذًا فالدنيا,لي من النسك وما فيه من الضيق والمشقّة إلى ما يصيب صاحب الدنيا من البلاء فيها والسعة بما نال منها فكان محقّقًا عندي أنّه ليس من شهواتها ولذّاتها شيء إلّا وهو مكروه ممحول وأنّها,ثمّ بدا لي أن أقاسي ما أخاف منه أن لا أصبر على الأذى والضيق والخشونة في النسك وما يصيب صاحب الدنيا من البلاء وكان عندي أنّه ليس شيء من شهوات الدنيا ولذّاتها إلّا وهو متحوّل إلى الأذى ومولّد للحزن,بدا لي أن أقيس بين ما أخاف أن لا أصبر عليه من الأذى والضيق في النسك وبين الذي يصيب صاحب الديك من البلاء وأنّه ليس من شهوات الدنيا ولذّتها شيء إلّا وهو مشحون أذى مورّث حزنًا,ما لا أقدر عليه من الأداء والضيق في النسك وبين الذي يصيب صاحب الدنيا فيها من البلاء فكان بيّنًا عندي أنّه ليس من شهوات الدنيا ولذّاتها شيء إلّا وهو متحوّل أذًى ومولّد حزنًا فالدنيا,ثمّ بدا لي أن أقاسي الصبر خوفًا من ألّا أصبر على ما أروم وعلمي أنّه ليس من شهوات الدنيا ولذّاتها شيء إلّا هو متحوّل أذًى و ومولّه حسرة,ثمّ بدا لي أن أتبيّن بين ما أخاف أن لا أقوى عليه من الأذى والضيق في النسك والذي يصيب صاحب الدنيا من البلاء فيها والتبعة بما نال منها وكان بيّنًا عندي أنّه ليس من لذّاتها وشهواتها شيء إلّا متحوّل أذًى ومورث حزنًا,
58,5102baf5-5033-4847-9cef-413d3d5d05cb,Salt Water Increases Thirst,كالماء المالح الذي لا يزداد الظمآن منه شربًا إلّا ازداد به عطشًا,كالماء المالح الذي لا يزداد,كالماء المالح الذي كلّما شرب منه المرء ازداد عطشًا,فالدنيا كالماء الملح الذي لا يزداد شاربه شربًا إلّا ازداد عطشًا,وأنّها كالماء المالح الذي لا يزداد شاريه إلّا ظمأً على شربه,كالماء المالح الذي ما ازداد شاربه منه شرابًا إلّا ازداد عطشًا,كالمالح لا يزداد صاحبه شربًا إلّا ازداد عطشًا,وأنّها كالماء المالح الذي إذا شرب منه الإنسان ازداد عطشًا,
59,344b8450-5514-438e-ba17-2a4e4b97a7ab,Dog Gnaws Bone In Vain,وكالعظم المتعرّق الذي يصيبه الكلب فيجد فيه ريح لحم فلا يزال يلوكه وكلّما وكلّما ازداد لها نهشًا زاد كدوحًا حتّى يدمى فاه وهو لا يكثر التماسه إلّا جرحه وأدماه,وكالعظم الذي يصيبه الكلب ويصيب فيه أدنى معنى لحم فيطلب ذلك اللحم حتّى يُدمي فاه ثمّ لا يزداد له إلّا طلبًا ولا يزداد لفيه إلّا دمًا,وكالعظم الذي يصيبه الكلب وفيه رائحة اللحم فيطلبه حتّى يدمي فاه ولا يكون له منه إلّا الجراح,وهي كالعظم الذي يصيبه الكلب فيجد فيه ريح اللحم فلا يزال يطلب ذلك اللحم حتّى يُدمي فاه,وكالعظم الذي يصيبه الكلب فيصيب منه رائحة اللحم فكلّما ازداد اللحم طلبًا ازداد العظم لفيه إدماءً أمّا,وهي كالعظم الذي يصيبخ الكلب وفيه ريح اللحم فيطلب ذلك اللحم حتّى يدمي فيه ثمّ لا يزداد فمه دمًا إلّا ازداد لذلك العظم طلبًا,وهي كالعظم الذي يصيبه الكلب وفيه ريح اللحم فلا يزال يتطلّب ذلك اللحم حتّى يدمي فاه ولا يزداد له طلبًا إلّا ازداد فيه دمًا,أو كالعظم الذي يصيبه الكلب فيشتمّ فيه اللحم فيطلبه حتّى يدمي فيه ثمّ لا يزداد له طلبًا إلّا زداد لفيه دمًا,
60,54b951b9-244e-4802-a692-2a0a896bb97e,Kite Looses Meat,وكالحدأة الذي تظفر بالبضعة من اللحم ليجتمع عليها الطير فلا يزال في تعب حتّى يلفظها وقد أعيت وتعب وكالكبّة,وكالحدأة التي تظفر ببعض لحم فيجتمع إليها الطير فلا تزال في تقلّب وهرب حتّى تلفظ ما معها وقد أعيت وتعبت,وكالحدأة التي تظفر بالبضعة فيجتمع إليها الطير فلا تزال في تعب حتّى تلقيها وكالأكلة,وكالحدأة التي تظفر بقطعة من اللحم فيجتمع عليها الطير فلا تزال تدور وتدأب حتّى تعيا وتعطب فإذا تعبت ألقت ما معها,وكالحدأة التي تنال الميتة فيجتمع عليهما الطير فلا تزال حتّى تلقط ما معها,وكالحدأة التي تظفر بقطعة من اللحم فيجتمع عليها الطير فلا تزال في تعب حتّى تأكل ما معها وقد أعيت وتعبت,أو كالحدأة التي تظفر بمضغة من لحم فيجتمع عليها الطيور فلا تزال في تعب وهرب حتّى تسقط من فهما وقد تعبت وأعيت من كدّ الطيور لها,أو كالجدأة التي تظفر بالبضعة من اللحم فيجتمع عليها الطير فلا تزال في تعب ونصب وتغلّب وهرب حتّى تلقيها,
61,7f29cb82-46b7-416a-8f31-fe501a2486d3,Honey Contains Poison,من العسل في أسفلها سمّ والذائق لها مصيب منها حلاوة عاجلة وفي أسفلها موت ذعاف,,من العسل فيه ما السمّ المميت فللذائق منه الحلاوة وله الموت الزعاف,وكالكوز من العسل الذي في أسفله السمّ الذي يذاق منه حلاوة عاجلة وآخره موت ذعاف,أو كالكبّة من العسل في أسفلها سمّ فللذائق منها حلاوة عاجلة وفي أسفلها موت زعاق,وكالكبّة من العسل وفيها سمّ فللذائق منها حلاوة ومنيّة عاجلة,وكالكوز الذي في أعلاه ا العسل وفي أسفله السمّ فهو للذائق منه حلاوة عاجلة وا والموت من أسفله,أو كال؟؟ من العسل فيها سمّ قاتل والذائق لها يصيب منها حلاوة عاجلة وفي أسفلها موته,
62,17810296-c71b-4132-84a8-aa3d0197482a,Happy Dreams Pass,وكأحلام النائم التي تفرحه فإذا استيقظ انقطع ذلك عنه,وكأحلام النائم التي تفرحه في المنام فإذا استيقظ انقطع الفرح,وكأحلام النائم الذي يفرحه المنام فإذا استيقظ انقطع ذلك عنه,أو كأحلام النائم الذي يفرح به الإنسان في نومه فإذا استيقظ من النوم ذهب الفرح,أو كأحلام النائم التي تفرحه في المنام فإذا استيقظ منها انقطع فرحه,وكأحلام النائم الذي يفرح بما يرى في نومه فإذا استيقظ انقطع الفرح عنه,أو كأحلام النائم التي تفرحه في منامه فإذا استيقظ انقطع ذلك الفرح عنه,أو كالأحلام للنائم الذي يفرحه عند منامه فإذا استيقظ انقطع ذلك عليه,
63,70914c47-0433-4296-af4f-7b1af7c57484,Lightning Passes,وكالبرق الذي يضيء قليلًا ويذهب وشيكًا ويبقى راجيه في الظلام,وكالبرق الذي يصبح قليلًا ويذهب وشيكًا ويبقى راجيه في الظلام مقيمًا,وكالبرق الذي يضيء قليلًا ويذهب وشيكًا ويبقى راجيه في الظلام مقيمًا,,أو كالبرق يضيء قليلًا ويذهب وشيكًا ويبقى صاحبه في الظلمة متحيّرًا,وكالبرق الذي يذهب وشيكًا ويضيء قليلًا ويبقى راجيه في الظلام مقيمًا أو,وكالبرق الخُلّب,أو كالبرق الذي يضيء قليلًا ثمّ يذهب وشكًا ويبقى راجيه في الظلام مقيمًا,
64,bd68def7-f172-45ca-8f45-2244719b33b7,Self Imprisoning Silk Worm,وكدودة الأبريسم التي لا تزداد على نفسها لفًّا إلّا ازدادت تشبّكًا ومن الخروج بعدًا فلمّا فكّرت,وكدودة الإبريسم التي لا يزداد الأبريسم على نفسها لفًّا إلّا ازدادت من الخروج بعدًا,وكدودة الأبريسم التي لا تزداد على نفسها إلّا لفًّا وبعدًا من الخروج فلمّا فكّرت,,أو كدودة الأبريسم التي لا يزداد الأبريسم على نفسها لفًّا إلّا ازدادت من الخروج بعدًا,كدودة الأبريسم التي تلفّ الأبريسم على نفسها ثمّ لا تزداد له لفًّا إلا ازدادت عن الحياة بعدًا فلمّا نظرت,وكدودة القزّ لا تزداد في الإبريسم لفًّا إلّا ازدادت من الخروج بعدًا,أو كدودة الأبريسم التي,
65,be51ef56-0fba-4f05-81c0-029c386ea3f6,Warns Soul Of Hesitation,في ذلك وراجعت نفسي في اختيار النسك وخاصمتها فقلت ما يجوز هذا أن أفرّ من النسك إلى الدنيا إذا فكّرت في شرورها,فلمّا فكّرت في هذه الأمور راجعت رأيي في اختيار النسك والاشتياق ثمّ خاصمت نفسي فقلت ما يجوز لي هذا أن أفرّ من الدنيا إلى النسك إذا فكّرت في سورها ثمّ أفرّ من النسك إلى الدنيا إذا تفكّرت ما فيه من الضيق المشقّة فلم أزل في تصرّف لا أبرم أمرًا ولا أعزم على شيء,في ذلك راجعت نفسي في اختيار النسك فقلت ما يجوز لي أن أفرّ من الدنيا إلى النسك إذا فكّرت في شرورها وغمومها ثم أهرب منه إليها إذا تذكّرت ما فيه من الضيق والمشقّة وما زلت في تصرّف وتقلّب لا ألزم رأيًا ولا أعزم عليه خوفًا من أن أخطئ,فلمّا فكّرت في هذه الأمور رجعت إلى طلب النسك وهزّني الاشتياق إليه ثمّ خاصمت نفسي إذ هي في شرورها سارحة قد لا تثبت على أمر تعزم عليه,فلمّا فكّرت في هذه الأمور راجعت نفسي ورأيي في اختيار النسك والا نسياق إليه ثمّ خاصمت نفسي وقلت ما يجوز هذا أن أفرّ من الدنيا,في هذه الأمور راجعت نفسي عنها وفي اختيار النسك والميل إليه ثمّ خاصمت نفسي وقلت ما يجوز لي أن أفرّ من الدنيا إلى النسك ومن النسك إلى الدنيا إذا ذكرت ما فيه من الأذى والضيق والمشقّة فلا أزال في تصرّف لا أبرم رأيًا ولا أعزم على أمر,فلمّا فكّرت في هذه الأمور راجعت رأيي في إحتمال النسك والاستمالة إليه ثمّ خاصمت نفسي فقلت لها يا نفس ما لك من صبر عليه إذا نظرت إلى الدنيا وسرورها فلم أزل في إقدام وإحجام وتقدّم وتأخّر ولا أبرم رأيًا إلّا أعزم على أمر,فلمّا فكّرت في ذلك راجعت نفسي في اجتناب النسك وخاصمتها وقلت ما يجوز هذا لي أن أفرّ من الدنيا إلى النسك إذا تفكّرت في شرورها وأحزانها ثمّ أهرب منه إليها وإذا تذكّرت ما في النسك من المشقّة والضيق فلا أزال في تصرّف وتذكّر ولا أعزم عليه,
66,09ba0d95-ff5d-4fcb-b747-744242723c3a,Judge Of Marw,فصرت كحديرون قاضي مروء الذي سمع من أوّل الخصمين فقضى على الآخر ثمّ سمع من الآخر فقضى له على الأوّل,وصرت كحدوان قاضي مرو الذي سمع من أحد الخصمين فقضى على الآخر وإذا سمع من الآخر قضى على الأوّل,فأكون كالقاضي المتردّد الذي سمع دعوى الخصمين فقضى لأحدهما على الآخر ثمّ عكس فحكم للآخر في اليوم الثاني ثمّ,كقاض سمع من خصم واحد فحكم له حكمًا كغير الخصم الثاني عاد الأوّل فقضى عليه,فصرت كقاضي مرّو لدى يسمع من أحد الخصمين فقضى له على الآخر,فأكون كقاضي مرو الذي يسمع من أوّل الخصمين فقضى له على صاحبه وسمع من الآخر فقضى له عليه,كقاض سمع من خصم وقضى له فلمّا حضر خصمه وسمع منه عاد إلى الأوّل,فأكون كقاضي مرو الذي سمع من أوّل الخصمين فقضى للأوّل ثمّ أتاه الآخر فحوّل الحكم له,
