unit_order,unit_id,unit_title,Met-1981.373,L4044,P5881,L8751,P3471,P3465,P3466,CCCP578,R3655,JBE-Hebrew,R2536,VAF298
191,321c22e8-16af-4cff-97b6-cd3c291a2850,Dimna's Inquiry About Additional Observations,فقال دمنة هل رأى الملك شيئًا غير ذلك,قال دمنة هل راب الملك شيء غير هذا الصوت,,قال دمنة فهل رأي الملك غير هذا,قال دمنة هل راب الملك عن ذلك شيء,فسأله هل راب الملك سماع هذا الصوت,قال دمنة هل راب الملك شيء غير هذا الصوت,,,,فقال دمنة للأسد وهل راب الملك شيء غير هذا,
192,948c28de-cc25-4af0-9462-7cbc519914c3,Lion's Response to Dimna's Question,,قال الأسد لم يكن غير ذلك,,قال لا,قال الأسد لم يريبْني شيء غير هذا الصوت,قال لم يربْني شيء سوى ذلك,قال الأسد لم يربْني غير هذا الصوت,قال لم يكُ غير هذا,قال الأسد لم يكن غير ذلك,,,
193,d6001289-0e42-43f8-8274-71edc064c59a,Dimna's Advice Against Abandoning Territory,فإنّه إن لم يكن رأى شيئًا سواه فليس الملك بجدير أن يضيّع وطنه بذلك فإنّ الصوت لا يهيّج إلّا القلب الضعيف,قال دمنة فليس الملك بحقيق أن يبلغ هذا الصوت منه إلى أن يدع مكانه لذلك فإنّه يُقال إنّ السكر الضعيف آفته الماء والسرّ آفته صلف المستودع والمودّة آفتها النميمة والقلب الجبان آفته أن يستفزّه الصوت الشديد والجلبة,وإنّه وإن لم يكن ذو عزّة فليس بحقيق أن يدع وطنه فإنّ التنكّر آفة الضعف ?والشرّ آفة الصلف والمودّة آفة النميمة,قال دمنة فليس الملك بحقيق أن يدع مكانه فإنّه يُقال إنّ السكر الصغير آفته الماء وإنّ العقل والصلف والمروءة آفته النميمة والقلب الضعيف آفته الصوت الشديد والجلبة,فإنّ السكر الضعيف آفته *** والشرف آفته الصّلف والمروّة آفتها النميمة والقلب الضعيف آفته الصوت الشديد,قال دمنة ليس الملك بحقيق أن يدع مكانه لأجل صوت,قال دمنة فليس الملك حقيقًا أن يدع مكانه لأجل هذا الصوت فإنّ السكر الضعيف آفته الماء والشرف آفته الصلف والمروءة آفتها النميمة والقلب الضعيف آفته الصوت الشديد,قال دمنة فليس الملك بحقيق أن يدع مكانه ووطنه فإنّ الشكر آفته المنّ والشرف آفته الصلف والمودّة الضعيفة آفتها النميمة والقلب الضعيف آفته الصوت والجلبة,قال دمنة فليس بحقيق أن يدع الملك مكانه فإنّ السكر الضعيف آفته الماء والشرف آفته الصلف والمودّة الضعيفة آفتها النميمة والقلب الضعيف آفته الصوت والجلبة,,فإن كان لم يكن ذعره سواه فليس بحقيق أن يدع وطنه فإنّ السكر آفته الضعف والشره آفته اللطف وإنّ المودّة آفتها النميمة والقلب الضعيف آفته النفخ والجلبة,
194,60c66e26-ba3b-4685-a108-a1d6ddc62441,Proverb About Not Fearing All Sounds,ويُقال في بعض الأمثال ما كلّ صوت يُهاب,وفي بعض الأمثال دليل وبيان أنّه ليس كلّ الأصوات تُهاب,وفي بعض الأمثال بيان أنّه ليس كلّ صوت يُهاب,وإنّ في بعض الأمثال أنّه ليس كلّ الأصوات تُهاب,وقد قال العلماء ليس لكلّ الأصوات تجب الهيبة,فقد قالت العلماء إنّه ليس من كلّ الأصوات تجب الهيبة,وفي بعض الأمثال أنّه ليس كلّ الأصوات بأهل أن تُهاب,وفي بعض الأمثال يُقال إنّه ليس كلّ الأصوات تُهاب,وفي بعض الأمثال بيان ذلك إنّه ليس كلّ الأصوات تُهاب,,وفي بعض الأمثال تبيان ذلك,قال دمنة إنّ في بعض الأمثال يُقال أنّ الأصوات كلّها لا تُهاب
195,a86bc12d-b98b-444f-ae2f-5a2dcc29a3d5,Lion's Question About Fearless Sounds,قال الأسد وكيف لا يُهاب,قال الأسد وما ذلك المثل,,قال الأسد فما هذا المثل,قال الأسد وكيف ذلك,قال الأسد وما مثل ذلك,قال الأسد وكيف كان ذلك,قال الأسد وما ذلك المثل,,,قال الأسد وكيف ذلك,قال الأسد وما هذا المثل
196,b69b9f2f-2340-4d5c-b2c8-06eab84072ef,Dimna's Explanation of Not Fearing All Sounds,,,,,,,,,فسمع الثعلب ذلك الصوت فتوجّه نحوه حتّى أتاه,,قال دمنة ليس من كلّ الأصوات ينبغي أن تُهاب,
197,33bf10a5-de39-4fb5-a9df-7da3f2911733,Third Subtale of Fox and Drum,قال دمنة زعموا أنّ ثعلبًا مرّ بأجمة وهو جائع فرأى فيها طبلًا معلّقًا بشجرة فكلّما مرّ الريح بالطبل قرعته قضبان الشجرة فيشتدّ صوته,قال دمنة زعموا أنّ ثعلبًا أتى على أجمة فيها طبل ملقى إلى جانب الشجرة فهبّت الريح فجعلت قضبان الشجرة تقرع الطبل فيصوّت صوتًا شديدًا,ثمّ قال دمنة للأسد زعموا أنّ ثعلبًا مرّ بأجمّة وهو جائع وفيها طبل معلّق في شجرة فهبّت ريح فجعلت قصبان الشجرة تقرعه,قال دمنة زعموا أنّ ثعلبًا جائعًا أتى إلى أجمة فيها طبل معلّق على شجرة فكان إذا هبّت الريح فحرّكت أغصان الشجرة أصابت الطبل فصوّت صوتًا شديدًا,قال دمنة زعموا أن ثعلبًا جائعًا أتى أجمة فيها طبل ملقى إلى جانب شجرة وكلّما هبّت الريح قرعت قضبان الشجرة ذلك الطبل فيصوّت تصويتًا عظيمًا هائلًا,قال دمنة زعموا أنّ ثعلبًا أتى أجمّة فيها طبل معلّق على شجرة وكلّما هبّت الريح على قضبان تلك الشجرة حرّكتها فتضرب به الطبل فيُسمع له صوت عظيم مبهر,قال دمنة زعموا أنّ ثعلبًا جائعًا أتى على أجمة فيها طبل ملقى إلى جانب شجرة وكلّما هبّت الريح قرعت قضبان الشجرة ذلك الطبل فيصوّت صوتًا شديدًا هائلًا,قال دمنة زعموا أنّ ثعلبًا جائعًا أتى أجمة فيها طبل معلّق في شجرة قد كان قوم نزلوا بفنائها ومعهم غناء فعلّقوه فيها وهبّت الريح فجعلت قضبان الشجرة تقرع الطبل فيصوّت صوتًا شديدًا,فلمّا رآه ضخمًا وسمع صوته شديدًا,,ومثل ذلك أن ثعلبًا مرّ بأجمة وهو جائع وفيها طبل ملقى في أصل شجرة فهبّت الريح فجعلت قضبان الشجرة تقرعه فيشدّ صوته,قال دمنة زعموا أنّ ثعلبًا جائعًا اجتاز بأجمة فيها طبل معلّق في شجرة والريح تهبّ فتضرب قضبان الشجرة ذلك الطبل ضربًا شديدًا
198,47baf485-44cb-40af-a587-4e049ebdd9f4,Fox's Approach to the Loud Sound,فلمّا سمع الثعلب ذلك توجّه إليه,فسمع الثعلب ذلك الصوت فتوجّه نحوه حتّى انتهى إلى الطبل,فسمع صوته فتوجّه إليه ثمّ أتاه,فسمع الثعلب ذلك الصوت فهابه وخافه أن يقدم عليه ثمّ شجّع نفسه لشدّة ما به من الجوع فتوجّه نحوه حتّى انتهى إلى الطبل,فسمع الثعلب ذلك الصوت فتوجّه نحوه,فتوجّه الثعلب نحوه لأجل ما سمع من عظيم صوته,فسمع الثعلب ذلك الصوت فتوجّه نحوه فلمّا رآه ضخمًا ذات صوت شديد أيقن في نفسه بكثرة الشحم فعالجه أشدّ العلاج حتّى شقّه,فسمع الثعلب ذلك الصوت فتوجّه نحوه حتّى أتاه,قال في نفسه إنّ هذا لخليق أن يكون كثير الشحم,,وسمع الثعلب ذلك الصوت فتوجّه نحوه حتّى أتاه,فسمع الثعلب ذلك فتوجّه نحوه
199,3f99e22c-4547-44e0-8c40-e78911d24d0e,Fox Splits Drum Expecting Food,فرآه ضخمًا فظنّ أنّه لكثرة لحم وشحم فعالجه حتّى شقّه,فلمّا رآه ضخمًا ورأى صوته شديدًا طمّع نفسه بكثرة الشحم فعالجه أشدّ العلاج حتّى شقّه,فرآه ضخمًا وسمع صوته فظنّ أنّ ذلك منه لكثرة لحمه وشحمه فعالجه حتّى شقّه,فلمّا رآه ضخمًا قال في نفسه إنّه لخليق هذا بكثرة الشحم واللحم فعالجه أشدّ العلاج حتّى شقّه,فلمّا رآه ضخمًا ذات صوت شديد أيقن في نفسه بكثرة ... فعالجه أشدّ العلاج من رفع ووضع حتّى شقّه,فلمّا أتاه وجده ضخمًا فأيقن في نفسه بكثرة الشحم واللحم,,فلمّا رآه ضخمًا وسمع صوته شديدًا قال في نفسه إنّه خليق بكثرة الشحم واللحم فعالجه أشدّ العلاج حتّى شقّه,فعالجه أشدّ العلاج حتّى شقّه,,فلمّا رآه ضخمًا ظنّ في نفسه أنّ ذلك لكثرة شحمه ولحمه فعاجل شقّه,فلمّا رآه ضخمًا وسمع صوته شديدًا كبُر في نفسه لكبر خلقته فعالجه أشدّ العلاج حتّى شقّه
200,e1323eae-dc32-4214-90ee-bd21a7426eb1,Fox Finds Drum Empty,فرآه أجوف قال ما أدري لعلّ أقلّ الأشياء أعظمها جثّة وأبعدها صوتًا,فلمّا وجده مجوّفًا قال ما أدري لعلّ أفسل الأشياء أعظمها جثّة وأشدّها صوتًا,فلمّا رأى جوفه قال ما أدري لعلّ أفشل الأشياء أعظمها جثّة وأنفذها صوتًا,فلمّا راه مجوّفًا لا شيء فيه قال الثعلب ما أدري لعلّ أفشل الأشياء أعظمها جثّة وأبعدها صوتًا,فلمّا رآه أجوف قال ما أدري لعلّ أفشل الأشياء أعظمها جثّة وأشدّها صوتًا,فلمّا رآه أجوف لا شيء فيه قال لا أدري لعلّ أفشل الأشياء أجوفها وأعظمها صوتًا,فلمّا رآه جوفًا قال لا أدري لعلّ أفشل الأشياء أعظمها جثّة وأشدّها صوتًا,فلمّا رآه أجوفًا قال ما أدري لعلّ أفشل الأشياء أعظمها جسدًا وأ شدّها صوتًا,فلمّا رآه أجوف قال ما أدري لعلّ أفشل الأشياء أعظمها جثّة وأشدّها صوتًا,,فلمّا رآه أجوف قال لا أدري أضعف الأشياء أعظمها جثّة وأبعدها صوتًا فانصرف عنه وقال هذه المقالة,فلمّا رآه مجوّفًا لا شيء فيه قال لا أدري لعلّ أفسل الأشياء أعظمها جثّة وأشدّها صوتًا
201,70f47668-02e2-44b9-8653-2f27410c8237,Dimna's Application of the Parable to the Lion's Situation,وإنّما ضربت لك هذا المثل لتعلم أن لو انتهى إليك صاحب الصوت كان أيسر ممّا في نفسك,وإنّما ضربت لك هذا المثل رجاء أن يكون هذا الصوت الذي تزعزعت منه لو قد انتهينا إليه لوجدناه أيسر ممّا في نفوسنا,وإنّما ضربت لك هذا المثل رجاء أن يكون هذا الصوت الذي ذكرت منه ذلك ولو قد انتهيت إليه كان أيسر ممّا تظنّ به في نفسك,وإنّما ضربت لك هذ المثل رجاء أن يكون هذا الصوت الذي يروعنا لو قد انتهينا إليه وجدناه أيسر ممّا في أنفسنا,وإنّما ضربت لك هذا المثل رجاء أن يكون هذا الصوت أيسر ممّا في نفوسنا,وإنّما ضربت لك هذا المثل لتعلم أنّ هذا الصوت الذي راعنا لو قد وصلنا إليه لوجدناه أيسر ممّا في أنفسنا,وإنّما ضربت لك هذا المثل رجاء أن يكون هذا الصوت وإن راعنا لو قد انتهينا إليه {وجدنا} أيسر ممّا في نفوسنا,وإنّما ضربت لك المثل رجاء أن يكون هذا الصوت الذي يروعنا لو قد أتيناه وانتهينا إليه أيسر أمرًا ممّا في أنفسنا,وإنّما ضربت لك المثل رجاء أن يكون هذا الصوت الذي يروّعنا لو قد انتهينا إليه أيسر أمرًا ممّا في أنفسنا,,وإنّما ضربت لك هذا المثل رجاء أن يكون هذا الذي يروعك صوته لو قد انتهيت إليه لوجدته أيسر ممّا في نفسك,وإنّما ضربت هذا المثل لرجاء أن يكون هذا الصوت الذي يروعنا لو قد انتهينا إليه أيسر وأهون في نفوسنا وأعيننا
202,369e6f0b-7c82-4012-bb09-8c09e24c8e3f,Dimna's Offer to Investigate on the Lion's Behalf,فإن شاء الملك فليبعثْني نحوه ويقيم بمكانه حتّى أرجع إليه ببيان,فإن شاء الملك فليبعثْني نحو هذا الصوت وليقم مكانه حتّى أرجع إليه ببيان ما يريد أن يعلم من أمره,فإن شاء الملك فليبعثْني نحوه وليقم مكانه حتّى أرجع إليه ببيان ذلك,وإن شاء الملك بعثني إلى صاحب هذا الصوت وأقام بمكانه حتّى أرجع إليه ببيان خبره,فإن شاء الملك يبعثني نحوه وأقام مكانه حتّى أرجع إليه ببيان ذلك,فإن شاء الملك بعثني وأقام بمكانه حتّى آتيه ببيان هذا الصوت,فإن شاء الملك بعثني نحوه وأقام بمكانه حتّى أرجع إليه ببيان ذلك من علم هذا الصوت,فإن شاء الملك فليبعثْني نحو هذا الصوت وليقم بمكانه حتّى أرجع إليه ببيان ما يريد أن يعلمه,فإن شاء الملك فليبعثني نحو هذا الصوت ويقم بمكانه حتّى أرجع إليه ببيان ما يريد أن يعلم,,فإن يشاء الملك فليبعثْني نحوه حتّى أرجع إليه ببيانه في أمره وما يجب أن يعلم منه,فإن شاء الملك فلينفذْني نحوه وليقم مكانه حتّى أعود إليه ببيان ما يريده
203,42e1e026-160d-4752-87e8-2c6cd190d876,Lion's Agreement to Dimna's Proposal,فوافق الأسد دمنة,فوافق ذلك الأسد,قال فوافق الأسد كلام دمنة وأعجبه قوله فقال له سِرْ على بركة الله وعونه,فوافق الأسد ذلك من قوله وقال لدمنة افعلْ ما بدا لك,فوافق الأسد قوله ثمّ أذن له في الذهاب نحوه,فوافق الأسد قوله فأذن له بالذهاب نحو الصوت,فوافق الأسد قول دمنة وأذن له في الذهاب نحوه إلى المكان الذي فيه شبربة,فوافق ذلك الأسد,,,فوافق الأسد ذلك من قول دمنة وقال له دونك,فوافق ذلك الأسد وأنفذه
204,fa90f8cb-7d40-4db6-8718-252c580503bc,Dimna's Departure to Investigate the Sound,فانطلق إلى المكان الذي فيه شتربة,وانطلق دمنة قِبل المكان الذي فيه شتربة,قال فانطلق دمنة إلى المكان الذي فيه شتربة مسرعًا,فسار من ساعته إلى شتربة ولامه كثير على الذي ما سار إلى خدمة الأسد ولأسلم عليه مثلما في الوحوش,فانطلق دمنة إلى المكان الذي فيه شتربة,فانطلق دمنة نحو المكان الذي فيه شتربة,,وانطلق دمنة نحو المكان الذي فيه شتربة,فانطلق دمنة نحو المكان الذي فيه شتربة,,فانطلق دمنة إلى المكان الذي فيه الثور,وانطلق دمنة حتّى أتى شيزبة
205,82d14b5f-d396-48f1-a699-17d0fce1390b,Scene 4. The Lion's Monologue,,,,,,,,,,,,
206,79c4ef8a-2e66-42c6-a78c-1869d7aa90c4,Lion's Regret After Dimna's Departure,فلمّا ولّى دمنة فكّر الأسد وندم على إرسال دمنة,فلمّا فصل دمنة من عند الأسد فكّر الأسد في أمره فندم على إرسال دمنة حين أرسله,فلمّا انفصل دمنة وسار فكّر الأسد في أمره وندم على إنفاذه,,ثمّ إنّ الأسد فكّر في إرسال دمنة وندم على إنفاده,فلمّا فصل دمنة من عند الأسد فكّر الأسد في أمره وندم على إرسال دمنة حيث أرسله,فلمّا فصل دمنة من عند الأسد فكّر الأسد فكّر الأسد في أمره وندم على إرسال دمنة حيث أرسله,فلمّا فصل دمنة من عند الأسد فكّر الأسد في نفسه فندم على إرساله دمنة,وقال في نفسه ما أصبت في ائتماني دمنة على ما ائتمنته عليه,,فلمّا انفصل دمنة من عند الأسد فكّر الأسد في أمره,
207,08f98c12-df6f-4a13-af9d-d8ac43139fa3,Lion's Self-Doubt about Trusting Dimna,وقال ما أصبت بائتمانه على ما وجّهته إليه,وقال في نفسه ما أصبت في ائتماني دمنة على ما ائتمنته عليه,وقال في نفسه ما أصبت في إئتماني إلى دمنة وعلى ما وجّهته إليه,,وقال في نفسه ما أصبت في ائتماني دمنة على ما أرسلته فيه,وقال في نفسه ما أصبت في ائتماني دمنة وقد كان ببابي مطروحًا,وقال في نفسه ما أصبت بائتماني دمنة على ما ائتمنته عليه,وقال في نفسه ما أصبت في ائتماني دمنة ما ائتمنه عليه,,,وقال ما أصبت بائتماني إيّاه على ما وجّهته له,
208,12befd27-2939-471e-a688-6b9671dae385,"Lion's Concerns about Suffering, Greedy and Malevolent Courtiers  ",فإنّ الرجل الذي يحضر باب السلطان إذا كانت قد أُطيلت جفوته غير محترم وكان قد أصابه ضيق وضرر وربّما كان يخاف العقوبة ولا يرجو الخير فبقي الغضب في باطنه,فإنّ الرجل الذي يحضر باب السلطان إذا كان قد أُطيلت جفوته من غير جرم أو كان مبغيًّا عليه أو كان معروفًا بالحرص والشره أو كان قد أصابه ضرّ وضيق فلم ينعشْ أو كان قد اجترم جرمًا فهو يخاف العقوبة أو كان شرّيرًا لا يحبً الخير,فإنّ الرجل الذي يحضر السلطان إذا كان قد أطيلت جفوته غير محترم لذلك أو معروفًا بالحرص والشره وقد أصابه بضيق وضرر وقد احترم فهو يخاف العقوبة أو قد أوقف على حربة,,وإنّ الرجل الذي يحضر باب السلطان إذا كان قد أُبطلت حقوقه عن غير جرم وكان سعيًا عليه عند سلطانه أو كان معروفًا بالشدّة والحرص أو كان قد أصابه ضرًّا أو ضيقًا فلم ينتعشْ وكان قد أجرم جرمًا وهو يخاف عقوبته أو كان شرّيرًا لا يحبّ الخير وكان قد وقف على خيانة,فإنّ الرجل إذا كان يحضر باب الملك وقد أُبطلت حقوقه من غير جرم كان منه متعيّنًا عند سلطانه أو كان عنده معروفًا بالشره والحرص أو كان قد أصابه ضرّ وضيق فلم ينعشْه أو كان قد اجترم جرمًا فهو خاف العقوبة منه,فإنّ الرجل الذي يحضر باب السلطان إذا كان قد أُطيلت جفوته على جرم أو كان سُعي عليه عند سلطانه أو كان معروفًا بالشره والحرص أو كان قد أصابه ضرّ وضيق فلم ينتعشْ أو كان قد اجترم جرمًا فهو يخاف العقوبة أو كان شرّيرًا لا يحبّ الخير أو كان قد وُقف منه على خيانة,فإنّ الرجل الذي بحضرة عليّة أو كان معروفًا بالحرص والشره أو كان قد أصابه ضرًّا أو ضيقًا فلم ينعشْ أو كان قد أجرم جرمًا فهو يخاف العقوبة أو كان شرّيرًا لا يحبّ الخير أو كان قد أوقف على جريه,فإنّ الرجل الذي يحضر السلطان إذا كان قد أُطيلت جفوته غير مجترم لذلك أو كان مبغيًّا عليه أو كان معروفًا بالحرص والشره أو كان قد أصابه ضرّ وضيق فلم ينتعش أو كان شرّيرًا لا يحبّ الخير,,فإنّ الرجل الذي بحضرة السلطان إذا كان قد أُبطلت حقوقه غير مستوجب لذلك أو مبغيًّا عليه أو كان معروفًا بالشره والحرص أو قد أصابه ضيق وضرّ فلم ينعشْ أو قد أجرم جرمًا فهو يخاف العقوبة أو كان حسودًا شرّيرًا لا يحبّ للناس الخير,
209,4ba12dba-2317-4a02-8b00-37a3f7aa9554,Lion's Concerns about Requistioned and Deposed Courtiers,,أو كان قد حيل بينه وبين ما كان في يده من سلطان أو مال أو كان ولي عملًا ففُرّق عليه أو نُقص منه أو شُورك بينه وبين أحد,أو حيل بينه وبين ما في يديه من السلطان أو يلي عملًا فتعرّق عليه أو تُنقِّص أو أُشرك معه,,أو كان قد حيل بينه وبين ذات يده من سلطان أو مال أو كان يلي عملًا فعُزل عنه أو انتُقص منه أو شورك بينه وبين غيره فيه,,أو كان قد أُحيل بينه وبين ذات يده من السلطان أو مال أو كان يلي عملًا فعُزل عنه أو انتُقص منه أو شُورك بينه وبين غيره فيه,أو كان قد أُحيل بينه وبين ما كان في يريد من سلطان أو مال أو كان يلي عملًا لم يُقرّ عليه أو انتُقص منه أو شُورك بينه وبين أحد فيه,أو كان قد حيل بينه وبين ما في يديه من سلطان أو مال أو كان يلي عملًا ففُرّق عليه أو انتُقص منه أو شُورك بينه وبين آخر فيه,,أو حيل بينه وبين ما في يديه من السلطان أو ولّي عملًا ففُرّق عليه وانتُقص له أو اشترك معه,
210,43fead2c-2b00-412d-8270-4ebf8b40133e,Lion's Concerns about Harshly Punished Courtiers,,أو قد كان اجترم جرمًا مع نظرائه فعُفي عنهم فعُوقب أو عُوقبوا جميعًا فبلغ منه في العقوبة ما لم يبلغْ منهم,أو فعل ذلك بهم جميعًا فبلغ منه ما لم يؤت إليه مثله,,أو كان قد أجرم فيه جرمًا مع نظير له فعُفي عنه وعوقب عنه,,أو كان قد اجترم جرمًا مع نظرائه فعُفي عنهم وعُوقب دونهم أو عُوقبوا جميعًا فبلغ منه في العقوبة ما لم يبلغْ من أحد منهم,أو كان أجرم جرمًا مع نظرائه فعُفي عنه وعنهم أو عُوقبوا جميعًا فبلغ منهم *دونه,أو كان قد أجرم جرمًا في نظرائه فعُفي عنهم وعُوقب أو عُوقبوا جميعًا فبلغ منه ما لم يبلغ منهم,,أو أذنب ذنبًا في نظرائه فعُفي عنهم وعوقب أو فعل ذلك بهم جميعًا فبلغ منه ما لم يُؤت إليهم بمثله,
211,f96244eb-2cb5-4a23-9bd2-c89f66ce481d,Lion's Concerns about Courtiers Others Were Preferred Over,,أو كان قد أبلى بلاء في نظرائه ففُضّلوا عليه في الجزاء أو كان له عدوّ مشاجر أو نظير ففُضّل عليه في المنزلة والجاه,,,,,,,أو كان قد أبلى بلاء في نظرائه ففُضّلوا عنه في الجزاء أو كان له معاد أو حاسد ففُضّل عليه في المنزلة والجاه,,أو أبلي هو ونظراؤه بلاء حسنًا ففُضّلوا عليه في المنزلة والجاه,
212,e5cf30a2-ac7a-4d67-8c4f-9fb839a0a6d5,Lion's Concerns about Impious and Inimical Courtiers ,,أو قد كان غير موثوق به في الدين أو قد كان يرجو في شيء ممّا يضرّ السلطان نفعًا أو يخاف في شيء ممّا ينفعه ضرًّا أو قد كان لعدوّ السلطان مؤاخيًا,,,,أو كان يرجو في شيء يضرّ الملك وله منه نفع أو يخاف في شيء ممّا ينفعه ضرًّا أو كان لعدوّ الملك سلمًا ولسلمه حربًا,أو كان لعدوّ السلطان موادعًا ولمسالميه عدوًّا,أو كان غير موثوق الهوى والدين أو كان يرجو في شيء ممّا يضرّ بالسلطان نفعًا أو يخاف في شيء ممّا ينفع السلطان ضرًّا أو كان بعدوّ السلطان موادعًا,أو كان غير موثوق به في الدين أو كان يرجو في شيء ممّا يضرّ السلطان نفعًا أو كان يخاف في شيء ممّا ينفعه ضرًّا أو كان لعدوّ السلطان موادعًا,,أو كان غير موثوق الهوى في الدين أو كان الولاة نفعًا أو يخاف فيما ينبّههم ضرًّا أو كان لعدوّهم مؤازرًا ولوزرائهم محاربًا,
213,d7c1369a-126f-4d64-88f9-ec13d60ed4b9,Advice against Trusting Certain Types of People,,فليس السلطان بحقيق أن يعجل بالاسترسال إليه والثقة به والائتمان له,فليس الملك حقيق بالاسترسال إليه *والطمأنينة إلى ما قبله والائتمان له,,كلّ هؤلاء فليس للسلطان أن ينبسط بالاسترسال إليهم والثقة بهم والائتمان إليهم,,كلّ هؤلاء ليس السلطان حقيقًا بالاسترسال إليهم والثقة بهم والائتمان إليهم,كلّ هؤلاء ليس للسلطان حقيقًا بالاسترسال إليهم والثقة بهم والائتمان لهم,كلّ هؤلاء ليس السلطان حقيقًا أن يعجّل إليهم بالاسترسال أو الثقة بهم والائتمان لهم,,كلّ هؤلاء ليس الملك حقيقًا بالاسترسال إليهم والطمأنينة إلى ما ?ينلهم والائتمان لهم,
214,a3058f43-e976-45ed-9743-e8f1080f229a,Lion's Reflection on Dimna's Character and Past Treatment,وإنّ دمنة ذو أدب وكمال وكان ببابي محقورًا مغفولًا عنه,فإن دمنة داهي أريب وكان ببابي مطروحًا مجفوًّا,وإنّ دمنة عاقل لبيب وقد كان ببابي مجفوًّا مغفولًا عنه,,فإنّ دمنة داهية أريب قد كان ببالي محقودًا مطروحًا,وإنّ دمنة داهية أديب وقد كان ببابي مطروحًا مجفوًّا,وإنّ دمنة داهية وقد كان ببابي مطروحًا مجفوًّا,وإنّ دمنة دهيّ أديب وقد كان ببابي مطروحًا محقورًا مجفوًّا,وإنّ دمنة داهي أريب وكان ببابي مطّرحًا مجفوًّا,,وإنّ دمنة دهيّ أريب وكان مخفوًّا ببابي مغفولًا عنه فأراه قد احتمل عليّ ضغنًا وأضمر عليّ غشًّا فدعاه ذلك إلى أن يخونني ويوليني شرًّا,
215,e1069b7f-a49a-4d0e-abcc-9ee466b8d53f,Lion's Fear of Dimna's Potential Betrayal,وربّما حمل عليّ ضغنًا وصادف عند صاحب الصوت عزًّا وراحة ووجده أعظم منّي شأنًا وأقوى ملكة فيرغب إلى ما عنده ويميل عليّ معه,فلعلّه احتمل بذلك ضغنًا ولعلً ذلك سيحمله على أن يخونني ويبغي بي سواي ولعلّه يصادف صاحب الصوت أقوى منّي وأفضل سلطانًا فيرغب فيما عنده فيميل معه عليّ فيدلّه على عورتي,فأراه قد يحتمل عليّ ضنأً وغشاءً يدعوه ذلك إلى خيانتي ولعلّه يصادف صاحب هذا الصوت أقوى منّي وأعظم سلطانًا وأعلى مكانًا فيرغب فيما عنده ويميل معه عليّ,,فلعلّه قد احتمل عليّ بذلك صنيعًا ولعلّ ذلك يحمله على خيانتي وإعانة عدوّي عليّ بنقصي يتّعظني عنده ولعلّه يصادف صاحب هذا الصوت أقوى من سلطاني فيرغب فيما عنده ويميل معه ويدلّه على عوراتي,ولعلّه قد احتمل عليّ بذلك طعنًا ولعلّ ذلك يحمله على خيانتي وإعانة عدوّي ونقيصتي عنده ولعلّه صادق وصاحب الصوت أقوى سلطانًا منّي فرغب إليه عنّي ويميل معه عليّ,فلعلّه قد كان احتمل عليّ بذلك ضغنًا ولعلّ ذلك يحمله على خيانتي وإعانة عدوّي عليّ وتنقيصي عنده فيميل عليّ معه ويدلّه على عوراتي,فلعلّه قد احتمل بذلك صنعنا ولعلّ ذلك سيحمله على أن يوليني شرًّا أو يليني بسوء ولعلّه يصادف صاحب الصوت أقوى سلطانًا فرغب فيما عنده ويميل عليّ معه فيدلّه على عورتي,فلعلّه قد احتمل بذلك ضغنًا ولعلّ ذلك سيحمله على أن يخونني ويبغيني سوءًا ولعلّه يصادف صاحب الصوت أقوى منّي وأفضل سلطانًا فيرغب فيما عنده ويميل عليّ معه ويدلّه على عورتي,,ولعلّه أن يصادف صاحب الصوت أقوى منّي *وأعظم سلطانًا فيرغب فيما عنده ويميل عليّ معه ويدلّه على عورتي,
216,4353bd07-a023-4437-b78f-e34af217054f,Lion's Restless Contemplation,ثمّ لم يزلْ الأسد يحدّث نفسه بذلك ويراجعها حتّى قام من مجلسه فجعل يمشي وينظر إلى الطريق,فلم يزلْ الأسد يتفكّر في ذلك حتّى استخفّه من مكانه وجعل يمشي ويتقدّم وينظر إلى الطريق حتّى رجع إليه دمنة مقبلًا,ثمّ لم يزلْ الأسد يحدّث نفسه بذلك حتّى استخفّ من مكانه فجعل يمشي وينظر إلى الطريق,,فلم يزلْ الأسد مفكّرًا في ذلك وشبهه حتّى أدركه الجزع فقام من مجلسه وجعل يمشي ويتقدّم وينظر إلى الطريق حتّى لاح له دمنة,ثمّ قام من مكانه فمشى غير بعيد,فلم يزلْ الأسد يفكّر في ذلك وشبهه حتّى أدركه الجزع فقام من مجلسه وجعل يمشي ويتقدّم وينظر إلى الطريق حتّى لاح له دمنة مقبلًا,فلم يزلْ الأسد يفكّر في هذا وينظر إلى الطريق حتّى رفع له دمنة مقبلًا,ولم يزل الأسد يفكّر في أمره وجعل يمشي ويقعد وينظر إلى الطريق حتّى رفع له دمنة مقبلًا,,فلم يزلْ الأسد تحدّثه نفسه بذلك ويراجعها فيه حتّى قام من مجلسه ذلك واستفزّه الشيطان فقام من مكانه وجعل يمشي إلى الطريق حتّى رأى دمنة مقبلًا,
